Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D1           725285742   462884861   262400881   1102729612  454973969   698916548   1007517708  794737647   347841872   -           -           1.330733584023489846     -           
D9           942676817   973040468   1211267092  1222040560  366587652   1061687382  1007517708  1004459675  104585588   -           -           9.303772026409604352     -           
D1           640903187   301293745   339609442   985230881   384056819   344089069   1007517708  163791727   296575493   -           -           1.015909109523085240     -           
D2           716898253   701585005   15313248    1132564754  1054936335  532988129   1007517708  946565713   301231752   -           -           2.329053960420480507     -           
D9           894182053   908185089   1227627707  1159817069  689033006   693058257   1007517708  713969791   97277005    -           -           9.336071654344210124     -           
D107         132612274   699635457   674607560   195651631   313210257   292986131   1007517708  128584292   6533560     -           -           107.0833446084523598     -           
D67          157970412   971706190   427894965   301458813   701651664   792220926   1007517708  700473339   14482011    -           -           67.09746250020111157     -           
D4           765124779   778699840   1228055682  1057642367  403793174   625865914   1007517708  1117284170  180089603   -           -           4.323957780061295376     -           
D29          288011270   529872734   999769279   321756067   890589676   897354394   1007517708  655416400   18052894    -           -           29.35112420202544810     -           
D3           720091595   764895331   1196827007  961963434   360637467   1159117131  1007517708  91748238    236347917   -           -           3.236310862007723977     -           
D5           699881154   389684480   310196674   779052331   350876108   50407836    1007517708  111975246   66511738    -           -           5.858882833583449586     -           
D10          886966671   678976332   207990339   1160356011  55765773    1188118768  1007517708  784137103   66798651    -           -           10.16452161586317065     -           
D22          674870832   615188183   59682649    804271273   277122726   245209344   1007517708  714516048   27868627    -           -           22.07457809098381488     -           
D0           724193950   84003270    640190680   1043520309  796496932   532081222   1007517708  752602638   85541232    -           -           0.982020810736043642     -           
D324         955846693   1215251671  982225765   970057208   1049509184  640799814   1007517708  709924510   3742188     -           -           324.7436181720426659     -           
D18          731661518   897511005   1075781256  868436408   419840489   691068153   1007517708  63060711    47787068    -           -           18.78146206835707099     -           
D21          394486675   879494698   756622720   748073222   14933632    366045039   1007517708  630305235   40900128    -           -           21.50347055148580464     -           
D10          327679823   557751204   1011559362  602043975   1086629895  744374037   1007517708  714893519   53315671    -           -           10.46129953048888759     -           
D2           1017715671  390571456   627144215   1228061214  48906369    395886682   1007517708  1146110193  176333499   -           -           2.214958917136896376     -           
