Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Using legacy P2PKH preimage for signing.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k^{-1}                                                                          a                                                                               m1                                                                              m2                                                                              f                                                                                    x_recovered                                                                     hypothesis  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D3                                                                               67027133376477150397988981109159231377837598148329265607900172583797775036990   22924051364061974607822261281717724533759000978462281287615070611283402795721   44103082012415175790166719827441506844078597169866984320285101972514372241269   97064959760025598446192050238533009211229540969865056695603723242598949676142   57456168292806514459459534560318389356734136027983663225775755900939279971430   77602499285671746979872377102953958898768937102005935460443036515524551727325   89473301883907353292329811221912603510853225546125554235053396334361299419157   33609045090146293943420162852748597819506016680229028048020079723414442210131   6951480609380254301582842850411675711053712505257683432493071266195425758686    -                                                                               -                                                                               3.297722118814300153177372816084009058394369121065333131668828875898227840637894     -                                                                               -           
D9                                                                               53860318296695073220059232683376490266341900671522919357387807045085297921621   94117074461037230062355711875091819984647192245287258193202578702232711172481   75535333072974038581274505816972578134532272705310565546790391484370748243477   68482706838607209363559523479501086282310599764224705386946706824822774453463   14144588253003377677552679998518888919402811094386924199871051299263531509331   66060472819649266892344504815927708679823496836223514806517311879210461671696   101750869602101536852833607043938743948753972273241794211129502618394847668907  108712512355030510108361023831526133979417327482761525389312314027505361658509  9993152670958664789558360295002702218435803393417561268711107705872868326095    -                                                                               -                                                                               9.418156367664937832889175029184861705871744093616928875732927888146679336425671     -                                                                               -           
D1                                                                               29092633431169071624669771075170839366375328001199250642033899309080787085384   5451765777383331409525083250736667808140611502605708413104841197744156469360    23640867653785740215144687824434171558234716498593542228929058111336630616024   54021667551553226656032395772831109757813630734385689329504970282325168026251   37823108159418216734272229928204820164727246149467952239649161516071395414710   39058127841912274117078459448756724027596986486709103952799653822326650513076   101750869602101536852833607043938743948753972273241794211129502618394847668907  87165735054176765317921942845698004372871051992932870221948265405429160332794   4163599310784916593307146377510568974937025268012811954562828335836406144517    -                                                                               -                                                                               1.309387712516354333553415171885713243365816512653414320602477535007277191460487     -                                                                               -           
D1                                                                               51200106617148314645303147198654488301835008013165044265716780292796359839347   24888694088785067192219511594811411652002727448532039565934992888913047082632   26311412528363247453083635603843076649832280564633004699781787403883312756715   87275880675160919818348660238233920749974834196858645760003427092397012788176   32689431169726268461970171371972644609030799106693496155764686501820077520492   1784666776284639477530306788205631015986359525167280118092183719858507977536    72467169649399747150002443156765636365404004037359654689332055310318572529810   109066436755572785634798632592894135830646796626688459650724836100548484287573  15124332559135709472257634159075055853695181829471442771430133493195706890518   -                                                                               -                                                                               1.645606111309109495448632495898161382622452120721330185937236762838628111848733     -                                                                               -           
D4                                                                               40137996692266575416943077868213811477606424793307544192933230079637825244544   64511301153012792233503808716697105485716032664592928967510578754976606067010   91418784776569978607010254160204613844727956407789519608027814466179380671871   66990361962598730845482228341743940300101336567238560231779700824122778725594   95521284667165910168539295714276305767020732782375098472230596253123590355795   60149289150907589488231797065701873968162201646920873403465904395827201269139   72467169649399747150002443156765636365404004037359654689332055310318572529810   109581015110857655751494161153396992197506697201956079870391906684251275849507  13285631421934419988403927394683682655111513019376528154086759335152871763494   -                                                                               -                                                                               4.855719619506032566380366019403726169551327623089660180457599845723868715184426     -                                                                               -           
D10                                                                              21937725317202431122842533368488465281528127281820294303439102076473142419775   33240399552534455113894799086523955315013334352830798297207720241793068710702   104489415001984171432518719290652417819352357208064400388836544976198235203410  40801947739406662671178874779667846249911324704716413097733001242547349374183   100098183707946259529926432683736157707133294389068301157428377521173870091811  89205696153676993469081780622519993415329539667104590481635995971527699143116   72467169649399747150002443156765636365404004037359654689332055310318572529810   30076654476257450642886877642789162232180979644101659363075314199347583351422   3073502894998199574506191957309084313144929858924175509145202910398935465367    -                                                                               -                                                                               10.81515153495696544266236417256207341647808750512106535447658798302837462852070     -                                                                               -           
D5                                                                               81045798060872909914047231810258416552945845679689202105520968022078794114400   11452631312997849831141352534555951916972887493333076052413055136311264819452   69593166747875060082905879275702464635972958186356126053107912885767529294948   100825147048972413435867887139632809491622459703577292205427337673532991167928  115771071189867294976305808337871376775220999707834296346777690695750117964957  89919099395344041026968699622990540747823842850898349910638334662731172238786   74296021458161718987855776707128906597793805816408917248086610408057544780068   75293044630071927773899593342139061608483694401336277149649875554110258365755   1928402108474895826764610492760844798239389584136841705895489416262005900288    -                                                                               -                                                                               5.938922832881221970915311794022802164048092504990790219031982018359662865811537     -                                                                               -           
D24                                                                              53824013329481378304533728205791871723120559421920734932940154253034153422521   54375087277067415900092728821406565058248869391654076662069175258842521334529   115241015289730157828011984393073214517709254309341562653476142135709793582329  105424122266153971611649924904760962482183395384283765799287992642314836096291  5445600406433573080083876135320881566717227098461138770151235323731332868313    76812823843067494068440258882484273694786272972542093627059806354808596619957   9794196191752691945281262989869598600936081559074500029946278426057979322208    20478518421427348867062131283485413575135587596408057554247565952322628873399   2223904392808784997417531506822780964057723459557704066592315863753470748751    -                                                                               -                                                                               24.45028098010626864247838610224496437765531546333499147501864926813633681877469     -                                                                               -           
D24                                                                              50421807126386671677160411479105407622388969351014819277606498659992186187716   99150950202352417227077337074729619106594400392009436943629420821828822426040   67062946161350449873654059413063696368632133238080286716582240979681525256013   96875246037971639002996161319782022926344450512302439856056009005022226781285   48329518170709979054075122923337840443125102066414474716138690422960540288243   5255734685212408603062618163755284736123214199819065596044952160919034243934    9794196191752691945281262989869598600936081559074500029946278426057979322208    21897932688909204915280637501212383258488974334786533326576651090305152971337   3968368214801704351324661638428792318433488189727198699156988314962145594147    -                                                                               -                                                                               24.98532012037771487082345235527162575207891210205780900739255079759152671454139     -                                                                               -           
