Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Using legacy P2PKH preimage for signing.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k^{-1}                                                                          a                                                                               m1                                                                              m2                                                                              f                                                                                    x_recovered                                                                     hypothesis  
D102                                                                             29147762233569796971261733948234690555405477435071136330250838238114411974399   68503440101635308752544976986858419707862998444977176519765047346109131398270   76436411369250683642287741970064178700380043269168864193090954033523442070466   31736677016999694865125794933156780141901330309672041802566153628975807117173   71249105832081084892698747603121799853499085537634508462781346583007039979825   49255566540835523693719762322410780720173455726303180354483053390031843128001   74603730380009109993970336470382438803701983384543242514616154593705186284333   41360955399201786493057910133548631796731378118954724912028974086005034759781   669699615840920138757063114091705103951095814461176134782368938639065403885     -                                                                               -                                                                               102.2898005034955194348039462324699419491822310144617751712077135838178290105409     -                                                                               -           
D14                                                                              95203831361011453751870210870929635607743543265556831684454275595192380332359   55821189400775835862125268004024228757979770887534628744789882099126886139918   39382641960235617889744942866905406849763772378022202939664393496065494192441   108236485544609913225308095744454334020743747015945797767842187028219490956323  99505576949022517364527922750164984012848205468194810939999200250684028655085   17398642222536300057730982712585421948407955928497538752012658092706229710061   8110595542913155957763132611867298983672257838154733675180943436056465278242    29832829761791608490016043595519885828489460013235948582104489739236426723043   3975252075822237437805016756256746716742117012834069100738895564002605964611    -                                                                               -                                                                               14.04217602709630257205728887743050094432284606232111761033507343185381276352829     -                                                                               -           
D12                                                                              48775788099907595475120674353708907330242936015195653264067610313748463349093   103393114128458835010448029527868414545849652958890298863316792881061542772998  61174763208764955888243629834528400637230847335380258783355980574205082070432   89184899554503973308171478149784295970426251171272064387435883512547255985772   88825134929678588290319773029689278543497345334033224854031983953120515473370   35612949444339142879291985481352326424163672065659835220786507743714501630491   8110595542913155957763132611867298983672257838154733675180943436056465278242    109519199281460493406102524449409673063350278173682658168238291970466119923770  8366676645311217642069870557633518690059620859119242140699337114949670712414    -                                                                               -                                                                               12.35772798586659040715750986087226703849733477042657205733745234018445264540129     -                                                                               HYP-005     
D5                                                                               16946193022709665816967742273656046131672552272064788347410884414639601976786   29850201357370550499304859077776946081030704716091941481679710914868853655805   102888080902655310741233868204567007903479411835047751248336336641288909815318  22715348192174984042334260114934384432657896404800132191547602581787907541859   21551638112409840559503959910312046788480797505055201022039454734145935526190   54675013021592108301344234159675919045629968237797756212100892482238063266369   6828762397740239189636262383511765621879560848219140538914823482602767616812    69201034045005140746023980442572672023330519599392689237524870018948783696155   5407882683779029366234706591099369529701864006594100659137448080342990846640    -                                                                               -                                                                               5.519757565545268922996142833021526415928223599745089892479881152696166109826289     -                                                                               -           
D3                                                                               51109247298547990453604724552985348677580167785632214414588442369446408629807   24302907946527325732187075601824019376897281705900249026394004010989658547009   26806339352020664721417648951161329300682886079731965388194438358456750082798   59758605639621122022831745394148806543077693066610769975393090808802370149998   31613547911235293788197466834688011603058445496518075946771417161589779798012   105213266116949454632548264547532831681194095422053914542881649698439039073883  12367758248064376992176730937069410548742871512494157959324757205749462938856   39987947943107969279661513364088733521098766965379706000906480666954495975779   7862455593182332607469620347168059350092541380739436610565200172666601028852    -                                                                               -                                                                               3.091007339691786072798406675938260904213926358409022349821563225081988158184154     -                                                                               -           
D18                                                                              33356164059111236693036776361144573129945358386055311467876771319279170664196   50703480208690632133514837300418331269553180858047974554907114537123320289646   98444773087736799983092924069414149713229741807082241295574819923674011868887   63958210333250590291636200760621229306323304787766417609474655572444886601019   20747354946027789081707595457010816396418770621209960924087256303973037860962   97946257801853756011727558264398229671953695586128474290667126299545693553690   12367758248064376992176730937069410548742871512494157959324757205749462938856   93418067312518744606962354255236264696437860049425746795952582843278085296157   2754117784971883094437351961667916953567411984344205326278887066113454727373    -                                                                               -                                                                               18.41006237473182945903224397881309077169054180743438400316497547462977804217027     -                                                                               HYP-005     
D1                                                                               47737304149926167164625321131264382124658891639997420207713258466188124491956   6705090159910862772877948387357569566296877049380810286250656702067100895316    41032213990015304391747372743906812558362014590616609921462601764121023596640   55946945065598303470720088913194768798043597516956709520487755780845068058938   66811451437327838518686752820822216245025868790318476925441722505451911532789   46399352276192686128392107791270908598288810841930025169944166452941336019094   12367758248064376992176730937069410548742871512494157959324757205749462938856   17266013362278406210698886085302393034587166666765009837812941101398568608968   6689099571565485634151482221612448757735362255200973643840771892903406657046    -                                                                               -                                                                               1.002390544224121151194913473581917267259265517073079397414403256957481786610937     -                                                                               -           
D6                                                                               47406045732152257072888138734882751983668158994299793993103920044702002155205   21733385263346542518830253602591046393604628166771255344760521865800713857886   25672660468805714554057885132291705590063530827528538648343398178901288297319   53667382878722133937245332370909459317637985747396351792792884471514866119301   71010494054914569088940307442382631894841467445828648905167477633225656033690   74080506146912653018602487029686930786748142508873930441218781984479402768362   12367758248064376992176730937069410548742871512494157959324757205749462938856   79956139616585157723200685676546664440195665045371424942842250180879818466250   3576685706163119022387783282695800645879371722623889395281169057011954406533    -                                                                               -                                                                               6.076403421719986467562858369387401340212177374752824336704377484886812624255187     -                                                                               -           
D312                                                                             23327400659343535802348210596745796438928150222695093133360789324169370534414   13685403219012951252662162688137012696270005810867431670937174831124648947311   9641997440330584549686047908608783742658144411827661462423614493044721587103    24012212779511583140570660020696825595451467489348013598212382743689222891691   21213328894113774947651428746706226919054964596308092713885759770928962938667   113877163541551638477864256128046261058215579954828760715182691168472991567869  60482368850898641908750830235051238346586911108723672868055820402045550889057   78953154454707523047056586208479265838168190919918068630100177112441425009782   43788573629926302784930182410805117135363156495797328406613060494390386996      -                                                                               -                                                                               312.5336608283576126405281948882232989698840912499494816104969758802251716077329     -                                                                               -           
D15                                                                              105133330226518171566331425923533579854393555475032737061424806954445283925582  15738170657107795847499714226573627888628172874934300154480566467409899652104   89395159569410375718831711696959951965765382600098436906944240487035384273478   106316481096998710286332996425835091999175991483172713197165810915635978636205  62433523032289873115850195411258054824309594648336097875316253931367777627386   91056017315454982179647170891930249901407094088469439702398084849948747902626   60482368850898641908750830235051238346586911108723672868055820402045550889057   48024378981385645344300342756566720259595699658603502673339229410946113644729   1016053624230764206193221721000511113539186758714837116216458369664149390758    -                                                                               -                                                                               15.48950791748110712766727324126920937542607003278527165515562464052989674142066     -                                                                               -           
D10                                                                              44864558598127520111961337650112332402863898605618395594921886851330228056177   105138484018715067056795839571033202274657979718934337693873104174393091272454  55518163816728648478736483087767037981043483165758962283653945818455298278060   56382003304776659753173879414866738270720047123247107796597027511275650334719   43936302512936284950140937257778940016958084361695596754018895654416135160509   102638548408825593679496975426835051926391914646164638209245478985961067350353  60482368850898641908750830235051238346586911108723672868055820402045550889057   107737829638304741928840379564200709294181764492212996477264957152475718836858  10312224478180101188323712355849114799295453052732258989896464871493961220551   -                                                                               -                                                                               10.19551933156422915385684066566277686539289039990661396556785835289747405745144     -                                                                               -           
D37                                                                              70899560656326399360264925299942636897342385878735791695828514959837785490431   78874662525734006873359957225660943448646997676394230006459387728918352410289   107816987367908587910475953082969601301532952481416466071974290372437594574479  75814974916997219985330477029635301965302934630442397265503529621978688420207   70811239880152245444625347745435814407867387624816302468670479262720142916729   25704246191459463195355437664120773193465503367667036509937017719563978531064   85143914579989131481503039965060133451000588349023085211166800894317823228131   41209338871155379279513083550220915788198707831486746888344740890328140047123   2083761006934910609347201084245325945894703354843313720378309689865144473567    -                                                                               -                                                                               37.85206761391220086752398212580625720943211202209171432602390586681189596234243     -                                                                               -           
D9                                                                               74863509596376041255233263206654019353394664705221669662599837401906564951155   105538323326794421916812573333487093385866285044329617158037723573553767328523  85117275506897814761991674881854833820365943939966956887167276969870959116969   95964875011573510644710780646946553118931559433987803443289851979698520641055   78294097312132796396210666569889975549740495228997962190343587900844924950275   30606795075567894030639647904126495061307731960803918607643456132568024191284   85143914579989131481503039965060133451000588349023085211166800894317823228131   81149456458624160202326348555856715303916250060031128529420721216826011174217   11559413350783633086800710885776418056783980518923268320529793668530697881455   -                                                                               -                                                                               9.130076079478530994475206608537317982640165342152554910035658368844037181541793     -                                                                               -           
D4                                                                               7424134491905450832524721951899732864017742924446496469811000749596208337868    5905741223331308099858699569403141963450388979967247664851828409757552545062    1518393268574142732666022382496590900567353944479248804959172339838655792806    13483845913078105224443574738658997716857824586822222433067410136520994886509   27977527313843561563499750882537313791015486474780332417368651721270073904427   90625732734189588241402090053161861777099647119776139636527458912729504213647   85143914579989131481503039965060133451000588349023085211166800894317823228131   57907175427652104526610041048571717054095942248466002438769278253737269288429   1364423070732796440605869165140468011177661262070770506554591362671421789227    -                                                                               -                                                                               4.328379774580832034345059499734894399173125716376506328190827782287562920879207     -                                                                               HYP-005     
D36                                                                              86349382066635348100057309849917296232743244735809604589520643581227184629817   59885724049568660384348128181847412028183312784152384525139943260027033788687   26463658017066687715709181668069884204559931951657220064380700321200150841130   91996642261104040161406688069448148433718512143368323873980211832963521028149   58947686670059755958641948069960337347833343231738549022149128204938802556162   47278657039923429372562294476175583611869836499653283065333120720656905386396   85143914579989131481503039965060133451000588349023085211166800894317823228131   108463507495578446521938574325114735759607556748174203836329147854727122002219  1640479149604967179816636556954513218114233622428815322627119805182138654837    -                                                                               -                                                                               36.50501992907946520245763286141505919616454062399094628785929054649080212207054     -                                                                               -           
D4                                                                               67522392334160132760180549112491921551016395330421869858733107283119111819906   62553740776074482185035245170552395291395739371954171916318305718387083487513   4968651558085650575145303941939526259620655958467697942414801564732028332393    85429172539173751168015126005038045095504971174032504854398777729411612437070   18738214064911078019771800432577932653420479181783245172636525240188726127303   99432183009197623015860406968737243217537969288785514730381129429225656156095   74134275992130626587788561324063780973156575031270533643318950601623912720307   96513439364323368510354509829656976026794310667365571434860004816901214914781   13802051719119277536676818434853550917550667799589964871736095944241609968414   -                                                                               -                                                                               4.532205939311325647183813757464159060821713713132350823415365926426031132506253     -                                                                               -           
D0                                                                               72521911360305200170467027791625793191569495372107056449193623984829520761994   4566756299481997872085805569743637996369105954403853826867019209142433190708    67955155060823202298381222221882155195200389417703202622326604775687087571286   104172218104235683081855995777311577044167309546057120708745268431161808980501  17287449062109854366248336752880621328635124182868386328382121713192752642918   76032947343596956472795680494721682470742482216687187376986331751316531837043   74134275992130626587788561324063780973156575031270533643318950601623912720307   84165309754783413490473706601320790335366671602316979331979230299162168294922   9221297872444234347689091820254225486373867024206927930090335092164944324980    -                                                                               -                                                                               0.495240080371844127109694780316819456676050343414188692336364188549656834324352     -                                                                               -           
D1                                                                               59166617460378905638390334627050905874919835798082180813683550080873158453027   41841011018312681730363699051020171622473347359385441837891956165769567877750   17325606442066223908026635576030734252446488438696738975791593915103590575277   95443116346343128984527932610363705443758662705224898445277233045126722536255   95978640972140007299568808994955566856902933443984244677188383770981672479075   121012956916805266736761108162780350222128712436152765266978744482946146191     74134275992130626587788561324063780973156575031270533643318950601623912720307   37838746816707197912345027190451868587530398441279218512016891085614925065415   22890118574414682292252736643738106306081008890939463182089867116619594369799   -                                                                               -                                                                               1.827907133040379549167528327944426688881004853362639191045544915314893955413673     -                                                                               -           
D22                                                                              55166164829907288551764718459792666204041949853201068711260003383691833916722   88345743944927086581306219418444412229089804242860379781947365171682940499749   82612510122296397394029484050036161827789709889415593311917801353527054911310   72259521501411784700700063636215533760034858913903306373128361498011274872640   83635075821229715362992645644606421242882866266918487840088196195561775355950   49639403231883268398046475878858551518575365491421056098593439886045225302059   74134275992130626587788561324063780973156575031270533643318950601623912720307   98525558422100756450921098172093043442482585627209464939814634943028771555268   3886094815393800104958682930524063536063222671094355725654929040733511048968    -                                                                               -                                                                               22.73381071274106561821445351864138234893852247139323430785015362154785442064623     -                                                                               -           
D2                                                                               63575546711287340065961326338558147974546736852428865899752375483950800794817   12085432244034192278380534123616101853399211678353415115174152366316231053705   51490114467253147787580792214942046121147525174075450784578223117634569741112   75379032870611315702647514208480750227594907942240140004797626892281067784376   8911327741019972716692926604019142062843438907831797289908888187237262459341    32914720387944949473669555354687716237111453987672725114392738815749555709628   14907286613422021884258656067224157229228681770712662490539398197444847083694   41863385897322356351278525025170618644703419288378083821627426342324369404464   4558115914667461882530386988945136709305881403372495374526118442299465847022    -                                                                               -                                                                               2.651409589024435117235407139735221273412042371422573330944360051069840059853865     -                                                                               -           
D31                                                                              65816527569204183650128181870017719537391410648402988844248842872881472412353   22698461439518453542225937966843925542273282124143881439534188043305432734871   43118066129685730107902243903173793995118128524259107404714654829576039677482   68646918281532686723366726674126967745250062115655762047304166537992999459050   65666868932641845224022976471919848518770880003781620243970118602895473399686   92787042858953593625444264227405000304535693221695077826119452374348815360950   14907286613422021884258656067224157229228681770712662490539398197444847083694   14764185617741583033958568101189253041652075932739285938382826057188152399576   717541185648612965641651375505010756642426901589205173976398575316350338322     -                                                                               -                                                                               31.63367050352718736667685189383603735369156131141109022883957091027382646190040     -                                                                               -           
D0                                                                               61650032767373044109391529671545053034440357821184309831719699224575892956996   1869551619898233775594530690554628495219721344716717291781110348237227936453    59780481147474810333796998980990424539220636476467592539938588876338665020543   106061269038005158554214291646095668802928571173266434869816303354941219751252  3580769348208097797057143725487296335337399837451533196234344455754477721931    31395183286533418161458555640800536575224232997827241189127817207876989046048   32577506728852071570489804349893163967232851264067055553739823286278623201293   33078945065561044880467806425551940628860129616380777878842086021041420892401   17238796496740929664568767696994437265952144469102184793623095094210566162740   -                                                                               -                                                                               0.108450240145922062257913341090896298414981880488617338502810656581361987170259     -                                                                               -           
D5                                                                               38681031656493698183125531201853211558775578077744979049799601287380277793874   37194891799432772666111850376545594640024851131955532440962165014142902727824   1486139857060925517013680825307616918750726945789446608837436273237375066050    49328364217875351558744207822629432379794149141279237697159900229301287968321   13361881638800387506933088146177346306498421874343401183055843253365984446109   103273256336841030382502639564030098244691075125599116684270998779204566240028  32577506728852071570489804349893163967232851264067055553739823286278623201293   36798317347097727735502465425657594019260379044444638749335470349064585735728   6739033972348738056269501339524549095719864887142203107718704461617247270533    -                                                                               -                                                                               5.519321011297607891730109259808711876947564400231628815752460994984438695404532     -                                                                               -           
D105                                                                             46946558501649184770644877252423421142670744837549675809181084391339941423884   58692999788011144614005704431129790266119324090281152031664651779606599018735   104045647950954235580210157829981538729388985026343428160121595753251503899486  52745373741484728307300914074764979637047920279558147118537892501422232201873   58574737080797173521133947188601728264074612561419443768899426501297289854899   46574009580590007262530085146601316649224103590098329740743615963339925208237   32577506728852071570489804349893163967232851264067055553739823286278623201293   10606981740318279308008124552827424632116869723710689448289011153234248292367   556036582964836477396582673690953187653341301481905334326619510681615199972     -                                                                               -                                                                               105.5560040223520069134949155692715629040924703643394654516353655530752272346658     -                                                                               -           
D0                                                                               65804964977730182395120019744698761346911274228180518133504884299300158752419   2001534795983437863698539446831194592234664924867492482949898723661521780300    63803430181746744531421480297867566754676609303313025650554985575638636972119   114680705890394291963217518507643275067895588121897435691882114061769941727295  63916475045269242224887789196025213700879085449305589792001165370902441456991   64625786490129081047223608519245659411499501875821733840620314337338918302425   17158088419095614349388822197152278800458480589789598849093211970431688391864   111915388773350387503454928896062490010168793256379817119395445744417641849255  16929224065066072827022520981754247625926960334463600575127654536830375777543   -                                                                               -                                                                               0.118229564939934894890016639238984425965994664991004965240579813755549660110358     -                                                                               -           
D2                                                                               71847911589038060522784265213684322767642368302887293943250933133598093928318   13596642732414470410244192097381881986208074341328611952213152952997722301884   58251268856623590112540073116302440781434293961558681991037780180600371626434   94264238537625629246473751027359345926489102775390302560213445090326883627399   113267364387662724030836323534163444660619961270190653058771717234260937995150  67010303618323606362398174045454987870462169806267171807265261368697869513508   17158088419095614349388822197152278800458480589789598849093211970431688391864   49689554759847997499866390071114232652927293876648083397013506729152896045752   4598930743275354351715807772659253291102164885378268092363397263411724831075    -                                                                               -                                                                               2.956479123390963188910443171030481741779136571268470500100257034199119915680130     -                                                                               -           
D3                                                                               57342924110380745396792051440319265664728762302234599075805370931663686964828   38079067574601834963804605586769642069313821627197615236853931162136767389631   19263856535778910432987445853549623595414940675036983838951439769526919575197   102355789404878604641560954046001786356408886637262421231334080296541123429202  45678845338400685719050626936830679181516231255136182156907983977034129222915   49870113744434725325444333807139994711737089045966265061629256402237370625589   17158088419095614349388822197152278800458480589789598849093211970431688391864   55264884476691075275736641665701285973498383445385950183069342800539974033301   12330058815882886152023148834636744973048637967206776920276661566786250500454   -                                                                               -                                                                               3.088311916691794558923955278537780978399913167301553641132642096491855647575519     -                                                                               -           
D0                                                                               38130746487975179916911413644115200972033498061353626655559784635461166329854   8276032170420613967388642636310658302882433425861472847811391648931450236873    29854714317554565949522771007804542669151064635492153807748392986529716092981   65916368474615564922004486711129074164096189310558655389116429063967142432591   9287346283502267871105515755244082342111655526053803767905702246033127539771    50145605091810229357668544593733196255084600100398994082442439631332695126962   17158088419095614349388822197152278800458480589789598849093211970431688391864   94394197355944595861459430840497717019150061821509886813967854029450299764604   10345124501334794911818340577101327779970806812148597922003140206955190227117   -                                                                               -                                                                               0.799993481891183304586856676102044735559782225083340653298533710100928027609372     -                                                                               -           
D10                                                                              91295659229681772636801346906760697295104176322311013253865776208488543053461   70961908446642425122436160903052663115392461928560148261035262909615029677272   20333750783039347514365186003708034179711714393750864992830513298873513376189   105374806518116594240444817345254306505086030940016514761669611021159455087891  92583395029869078782933528805943828432218500223262039017648411305206952975548   73593081901040548543781087248868079838870737399315528519085021214675400133701   75628997041531677853504555849915021961209217423383636978486283614507965582088   30865632482604598593473762570847088612035870254237459860045308297700622518529   6820775499072843014940524275799042035213048616078004207042767332463070846881    -                                                                               -                                                                               10.40378890293169313003683232879876752017025709193601674677261635649714397352503     -                                                                               HYP-005     
