Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

Using legacy P2PKH preimage for signing.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered                 hypothesis  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D859         80556       72226       8330        87262       16219       79240       61440       15361       84          -           -           859.8333333333333333     -                           -           
D14          64131       80401       83397       73915       18555       11472       61440       46666       5427        -           -           14.81499907868067072     -                           -           
D461         8710        53563       54814       17304       58827       51229       61440       34089       116         -           -           461.75                   -                           -           
D29          81277       48373       32904       83932       35345       16129       61440       82583       1627        -           -           29.73140749846342962     -                           -           
D7           52403       22104       30299       64793       65264       56757       61440       29358       2843        -           -           7.774885684136475554     -                           -           
D5           35171       65732       69106       57816       97418       16194       30720       55233       12526       -           -           5.247644898610889350     -                           -           
D12          18565       46667       71565       23458       5401        41949       30720       24238       3886        -           -           12.00900669068450849     -                           -           
D7           52738       76179       76226       95520       733         49080       98306       23491       9956        -           -           7.651566894335074327     -                           -           
D6           51007       91071       59603       88735       97333       71232       98306       44414       13279       -           -           6.858272460275623164     -                           -           
D6           49695       92605       56757       85130       87196       78122       88067       17335       14260       -           -           6.494039270687237026     -                           -           
D4           45033       29318       15715       64205       57858       11000       88069       59820       6689        -           -           4.383016893407086261     -                           HYP-005     
D386         14187       53275       60579       14410       17927       24691       59398       52241       138         -           -           386.0507246376811594     -                           -           
D10          56899       29726       27173       62317       54294       55819       59398       42919       2719        -           -           10.93269584406031629     -                           -           
D4           55105       44820       10285       70289       54203       94779       59398       39836       9553        -           -           4.691719878572176279     -                           -           
D46          39322       99213       39776       76497       83506       69542       59398       8486        2147        -           -           46.21006054960409874     -                           -           
D54          67448       18165       49283       67805       26586       89214       43013       7952        332         -           -           54.71385542168674698     -                           -           
D0           37493       1669        35824       64936       58360       27927       43013       27791       10050       -           -           0.166069651741293532     -                           -           
D2           48355       16374       31981       62136       58033       10297       43013       66473       7012        -           -           2.335139760410724472     -                           HYP-005     
D12          89514       49439       40075       96635       25044       62831       43013       89286       4062        -           -           12.17109798129000492     -                           -           
D0           47000       4766        42234       81006       2966        62462       96261       23255       12994       -           -           0.366784669847621979     -                           -           
D2           49851       41799       8052        85325       2673        71995       96261       22052       14377       -           -           2.907352020588439869     -                           -           
D3           37297       30871       6426        51751       97550       93381       12296       30587       8389        -           -           3.679938014066038860     -                           -           
D0           25442       763         24679       34100       60063       43516       12296       46499       8126        -           -           0.093896135860201821     -                           -           
D21          50947       52239       98375       75197       70339       12065       12296       14098       2447        -           -           21.34818144666939109     -                           HYP-005     
D1           44040       23882       20158       67607       73806       73920       12296       60271       20473       -           -           1.166511991403311678     -                           -           
D394         76664       88477       87854       77028       36778       12598       71690       47359       224         -           -           394.9866071428571428     -                           -           
D533         38233       68876       69024       41697       94991       81562       71690       56000       129         -           -           533.9224806201550387     -                           -           
D253         36075       64638       71104       39657       91556       69053       71690       96243       255         -           -           253.4823529411764705     -                           -           
D88          2446        66943       35170       4135        13140       10278       71690       70174       757         -           -           88.43196829590488771     -                           HYP-005     
D11          51291       29700       21591       55342       72137       27172       18448       83990       2679        -           -           11.08622620380739081     -                           -           
D34          42365       11788       30577       84385       46649       51411       18448       88850       345         -           -           34.16811594202898550     -                           -           
D6           20602       60079       60190       31939       35398       89405       18448       77034       9265        -           -           6.484511602806260118     -                           -           
D2           57260       30507       26753       72410       17922       62656       16402       62548       11810       -           -           2.583149872988992379     -                           -           
D2           50493       44186       6307        83617       97925       74502       16402       71950       17369       -           -           2.543957625654902412     -                           -           
D9           25233       93097       31803       40716       15678       8928        16402       3318        9750        -           -           9.548410256410256410     -                           -           
D14          43229       66152       76744       82009       78105       44514       67611       48624       4449        -           -           14.86895931670038210     -                           -           
D40          24316       45874       78109       28182       92829       63953       96285       85697       1120        -           -           40.95892857142857142     -                           -           
D43          24189       68372       55484       46797       54095       97538       96285       45821       1581        -           -           43.24604680581910183     -                           -           
D0           52771       6157        46614       81073       14934       44006       51233       53331       24469       -           -           0.251624504475050063     -                           -           
D2           38587       27287       11300       67600       43991       33424       51233       95372       9574        -           -           2.850114894505953624     -                           -           
D41          44857       87955       56569       50959       94274       30373       90146       649         2143        -           -           41.04293047130191320     -                           -           
D2           59037       53898       5139        95493       88522       67545       90146       31733       22581       -           -           2.386873920552677029     -                           -           
D9           90664       30297       60367       94157       35435       39546       53285       23962       3339        -           -           9.073674752920035938     -                           -           
D9           87620       26319       61301       93283       93613       25387       49190       81043       2675        -           -           9.838878504672897196     -                           -           
D1           88033       2931        85102       90880       72028       4955        49190       78074       2623        -           -           1.117422798322531452     -                           -           
D27          27273       11965       15308       30627       73498       40686       67630       77790       441         -           -           27.13151927437641723     -                           -           
D1           56533       32308       24225       92400       90695       62376       67630       83267       20666       -           -           1.563340752927513790     -                           -           
D22          41023       90036       50654       46308       79069       5659        75823       2144        4028        -           -           22.35253227408142999     -                           HYP-005     
D49          35273       88027       46913       41971       64723       61609       75823       21426       1783        -           -           49.37016264722378014     -                           HYP-005     
D14          17790       62707       54750       31200       1635        33851       75823       84100       4380        -           -           14.31666666666666666     -                           HYP-005     
D450         81890       87416       94141       92102       75951       95469       75823       30473       194         -           -           450.5979381443298969     -                           -           
D18          32150       85184       46633       45972       85111       14951       75823       93307       4506        -           -           18.90457168220150909     -                           -           
D10          48909       82375       66201       90174       17348       18631       12336       16614       7644        -           -           10.77642595499738356     -                           -           
D9           33294       87882       45079       45503       87675       10676       12336       39537       8876        -           -           9.901081568273997296     -                           -           
D7           64560       91114       73113       90982       67367       71418       43054       31292       11716       -           -           7.776886309320587231     -                           -           
D3           61240       53705       7535        77142       37529       21633       43054       47956       13534       -           -           3.968154278114378602     -                           -           
D108         31466       26206       5260        37711       1393        58983       47154       93318       241         -           -           108.7385892116182572     -                           -           
D43          58787       97576       60878       66868       89478       98066       47154       23682       2220        -           -           43.95315315315315315     -                           -           
D23          73319       48972       24347       97053       81676       11595       34868       31674       2117        -           -           23.13273500236183278     -                           -           
D2           80010       8863        71147       98925       45233       90124       81975       54484       4350        -           -           2.037471264367816092     -                           -           
D0           28854       10288       18566       46162       58527       71481       36921       97060       11546       -           -           0.891044517581846526     -                           -           
