Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Using legacy P2PKH preimage for signing.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k^{-1}                                                                          a                                                                               m1                                                                              m2                                                                              f                                                                                    x_recovered                                                                     hypothesis  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D1                                                                               69223816714868357262791708538350614521437219102837846586632822918668609476486   8274624532659222218721826158629384773836943331995421680282301281578021501146    60949192182209135044069882379721229747600275770842424906350521637090587975340   100896522845111090160945753978887055309598258406691431023626939063105462894079  17764792900103363699641945702416883937119479498707501963708862391637702285536   40493431736768150209119707349887349397740479496983897993659998332092910697318   61430046569176544207641147548634600737919836311874974873984663816637574148262   112450334440917839223867351160405955912043731288867250603264851398638550104031  5878404454382891466483617657277732945115140495130677712644590629794902641300    -                                                                               -                                                                               1.407631032684341441938739645345041058952143503218788284779484557680743541697860     -                                                                               -           
D10                                                                              77868694126074569792223551431869559192377108965146748406934049584389037645111   72262048148190647071580435709067148855208303201987230806341525110859917585710   5606645977883922720643115722802410337168805763159517600592524473529120059401    86774485836403146671998880074928039343886431953732336362108081445567250542377   13354942573427698546267476124731969609694198301732989307875984144790045836119   82987202373344401564820703951061913007968547225800711803800876113672012638955   61430046569176544207641147548634600737919836311874974873984663816637574148262   33845405319753716034640957349246703679120814370592303299722645432697784668502   6622360443445954754020922287401717980302525056462044765541794694963334466983    -                                                                               -                                                                               10.91182649529553342841987218781246485282434467445597339124247541849605785297495     -                                                                               -           
D4                                                                               48674217171470710913929497750330690864952503077643580153265186571218904458541   73907380353209903381639117859356708056996100407509982871693650423219133947588   90558926055577002955861364899661890660793966949208501664176699289517932005290   82350319151053769293566848104796773856820824445507920375703885037097173071906   85585139799595234511899163169284946310060286543298316246259161937129393538593   38979034230236374369606689072172369856586201266327121064303584405220819541357   18097180747598644003128939004060452987619954770341919465122531368144433650236   92097844533121312859462134735186118185993045729766676279896283992062107967790   14998115191887652534292147395864607873084181709779239930826488105340635845176   -                                                                               -                                                                               4.927777884596175779161511401002186710698835078846999336965670003754209778519020     -                                                                               -           
D113                                                                             77242478107279617136341616380491830331084713135593100623065707294656086833495   107860978396506211603525442737340449116656731742237172227601845857076080936499  85173588948089600956387158651839289067265545672430832778069024579098167391333   78937844572550863266303247300738675458707614157054671590937707888943112480809   65437133251699737137973440205043331769323765997496410950554129632082709848731   29542277788503640444649931990586860491264031137842916147770441308544781048283   18097180747598644003128939004060452987619954770341919465122531368144433650236   2728597931459007055025435304888271998680117085196627252725501644950392099939    950987170073541288068224969383799588054167169822407068825680551739932704365     -                                                                               -                                                                               113.4200142659812725566936180314982194745045606479619061166607950723753621688358     -                                                                               -           
D1                                                                               51367377890925366977205391303561717506735542743465127255545329218479885857969   36573487061562019924527045323517741474512327346651388264534829488682355344157   14793890829363347052678345980043976032223215396813738991010499729797530513812   83865876052365201837159843128018144101220318241298951271798887372977327468401   104153103387612508477258150917041658737207241294894616333031752627397945983023  42323561855675363193867074630768277561401639868994515548117725667313759979615   69401328903011888364312382183045759742856651487262614399996519913436105104219   62775200623994579764120230285119731599310171541585451316663838995152753058778   18868879729485532117250939479105290912250767245631303239291771063982444247537   -                                                                               -                                                                               1.938296686708448870752193834209850774385271690551107765960959398236874553053521     -                                                                               HYP-005     
D8                                                                               25985597571112285993868233738392848139062995299622723400096211493095752884425   73840993455300004698674441625213057985675859249918826595939710343723488712004   67936693353128476718764777121867698006224700328778801186761664290890425666758   43252608407997083163650252175550652672242110385807188218465509027740943063564   38903979567031179595990515552403805554015517697661907401253779755673375863600   57864977770556354745104133353689543794807374224871644429023876113612452807780   69401328903011888364312382183045759742856651487262614399996519913436105104219   8833119367796517271879682972749881826248831991511890772168950033019515924238    8718586734227488824086215301235043605883880213438258581726913958450562705286    -                                                                               -                                                                               8.469376483394323046224526061170971779277375228072932399578083954421898009686831     -                                                                               -           
D17                                                                              72571749904104149114737033182622334977554714979235418902450083511965035025877   105019132709519059525760837194066273814145207675464187219419266071954172902715  83344706431901285012547180997243969016247071582846136065635980581529023617499   79959741986385266348690528704016740383274368757166249483788775270264540122686   109587662160560353036282781007567878627163663173828759462010955730277384900686  12616624734830531617518690143047883757681435073094399261685770046671135849450   62569727118995758351382737278421763719455923125884184786581998379406244293951   50989405086447661007072595744108088048753142527335329147022892919756270490180   6079821163574094009155573490072686326077830977857943670401857687269489154596    -                                                                               -                                                                               17.27339174690170221476747140978495312103497894563226725254798634154216878934490     -                                                                               -           
D62                                                                              22520012015636818661640661667679831273661242619570685398334396445387151721360   80247489435219810036200085956245099797884017344520663779959897672760857887884   58064611817733204049011560720122639328614789554124926000979661914144455327813   43747290560220100106949344393005468104563006602177067724496955539868555133878   100861146525596082516649169458728466256304717368774319750052683804444316336037  71962791174938525255032494295076740437868415828745389077195575708619370046851   62569727118995758351382737278421763719455923125884184786581998379406244293951   46112314501130267750766510878599773796415965003215059860611869870170764480279   1292733471053537216331978942354194442759478636964303072171837350905748308842    -                                                                               -                                                                               62.07581936423493707614552249567641249235629887460267971879142665296348430303690     -                                                                               -           
D4                                                                               48639622925051365104243954373716886963008927673198491470383535095675424967201   79629452268997410109787330928765098033840730002970631848314863939057002406852   84802259893370150418027608453639696782005761949302764004673834298136584054686   79708937044351004247689906376434767169501316229236120298891551096357721317901   47729775344004630389878580649483463902263220949143549148766767085827466782453   66405182545740907346519449780343765476047127943136443178401708452189063114259   109798571029448498046570430769523199636608148799079253134925483484955739285853  19128823141013047761425292857246445385973194927709814965202802783478232836007   17570308805751725960798002370999006756516539117160862641875519094993128616501   -                                                                               -                                                                               4.532046257657709578449756688008064389347611854450430356316593956565268444454171     -                                                                               -           
