Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Using legacy P2PKH preimage for signing.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k^{-1}                                                                          a                                                                               m1                                                                              m2                                                                              f                                                                                    x_recovered                                                                     
D5                                                                               33115430287967066015385213404982989571666209321367487044952709827184140102055   72948316653983043785200140011807073423627496117880808610533982690874610485682   75959202871300217653756058401863824000876277482561582817023890277827691110710   53244547877976977599213775155504048012907791293414918900267120307040481173150   3124954461126347458533817436248864959432155394778815192490862375625030155250    88426875989021540876646689682236890067809030627094397202987888728427518288482   93345965717306007457031952786673175853387534546726232371299660235720727691915   43305994736335792405505729854652678001074574547764788076269349239689802365835   12986312697957154431556651654461931130424627349320055189638299347327799030960   -                                                                               -                                                                               5.617323281107990550429703392262376190801189053342125172129290093745367950472019     -                                                                               
D1                                                                               45835428329205762975292367135084579086925304767095201166550340064606012154636   24208846656544391675064963032889063540300569998146268283978735478327873161940   21626581672661371300227404102195515546624734768948932882571604586278138992696   74579935723393414921810680406618567748458232816169881902652813593553267129858   64658954000670012424797590884123379644487115562534617631623585252237680446649   33853514948343208581162140427921070373246075390369379144262664114092103267373   93345965717306007457031952786673175853387534546726232371299660235720727691915   112719229745978597715694365229082400905061923772522492616804150619381930271312  17090920935018111028774053863550590425392376718020520430447866535658757179414   -                                                                               -                                                                               1.416474088704146115815305567551541379956533659338840660867770621860557244784527     -                                                                               
D19                                                                              86116000885092615054863999611851017583223390208504445572898978540935561147808   79002349689937494608675233806646514969946135611619366790791812589789228641174   7113651195155120446188765805204502613277254596885078782107165951146332506634    113440435523294089905593538013382407531974775162328079657061532604092246764340  78375398077785937062287641984450401207175925579001124169648764233788107373946   47291933579963169002737942050234465312380350127185730767889169542044659358342   93345965717306007457031952786673175853387534546726232371299660235720727691915   32004517106229681261749951140328773505949233491756595442841656593927268855692   4142696970488190502675384407256847736969235347033543320411316351465504298212    -                                                                               -                                                                               19.07026998420006808244371963116025839959222325714213281354551854006211860531235     -                                                                               
D40                                                                              100785231513722187977874527778207951219664305129683606408628598828339039268657  43911918397448651143605492705427326813565749736633770940465607098041667550166   56873313116273536834269035072780624406098555393049835468162991730297371718491   106323911618916897278217681412643761475330719885077510359284034293015944073630  101506054616282255957414086348401199787875807309156213286910173093935129578922  107458282051111258590898964983485726410494324024089507409779878712766455752628  71507891723732311946769584543761103469126882417067383152032735866858688077892   96025572907720032691429333780738751128353593855430910330359143569246822617025   1088989620217420571697762358363366617668839532593335296830760464154752779143    -                                                                               -                                                                               40.32354173282338875477660889288396965956690881660846866652710628080058820532821     -                                                                               
D461                                                                             94712428855377071872370540014863708011278134621107828766346558061017509408888   52471009851349737832540524802335453069214496586191554077705998785571626492443   42241419004027334039830015212528254942063638034916274688640559275445882916445   95622032224348990323158929382103316930919541587868882488042466391070673831926   14199152215937477027620773658090937637644354194784625116905927299828136078254   6238880718937991269610364615949800620563303626110501344917557195696426944744    71507891723732311946769584543761103469126882417067383152032735866858688077892   62721698508520568426431374040043853047913679864003456179397925594798933591623   113678482297552990378045821944380368571810077958241709972091735488409412936     -                                                                               -                                                                               461.5738070289069418688243791931584174298241967980333244986733160943571175358034     -                                                                               
D7                                                                               32723208680818221081335763785714175836364380652863561414995435516858426508398   60830809343115033530664604513802478888997779932361710486160808132557131238907   87684488575019382974242144280599604800204164999576755311439790525819456763828   44811997607775871726088405079275806065134956908736705729793540967904832968820   50897652780517175050550957664514281477890380966152313245745233569653094340764   50689908577602405552532288351370860330305532810130291263454963840191403408043   71507891723732311946769584543761103469126882417067383152032735866858688077892   97504956775552327766865883385482112787371094700758160524297671075918367608880   8545630826902919791830481198590915378823228141117272785399224614765613587554    -                                                                               -                                                                               7.118352123474674017372627846391339119915086262455616788846217644435551164347784     -                                                                               
D12                                                                              25054719123567929226648806628365930622526654912511612718170005095473164436743   9361747084122628277034732927170200989057766285639042089971251159362441914376    15692972039445300949614073701195729633468888626872570628198753936110722522367   26269212301612686826715022766724298025184515397398380186439504826436432672734   18896779069870555382193730413585284070496337776101851257669110575735067672518   93289772303436983542287474407686128774278169187560441909323432451244459564025   109742089814828964308865358988116573791349864750612844243599247360991970187951  14221999342423854868219985388212830773154315183391531356936509083382671041377   764855562672777225324483861198582569369445214776263352780010476207799716923     -                                                                               -                                                                               12.23988886399431035167995809612453129899183514509514843047704216122367362163166     -                                                                               
D8                                                                               67419563436285685213496198892418198422135955749594405370153114174704521753629   103269300078357576715404611698541682665783934111240499876678149129792618520011  79942352595244303921662572202564423609189585917428809876080128186430064727955   94910238733609121961275251036882936887439934648293650301756540151023025102445   54027945026901622222250914425199326559584831831317325826781207099353236053030   102590121251168297318714606593193086139259892452914580296468158604897539688304  109742089814828964308865358988116573791349864750612844243599247360991970187951  7842166075370353055447889403031328422904728366632807615652827051834139794210    12438212841638811717938094603488721491527997952195915506946262222067515055997   -                                                                               -                                                                               8.302583449339913825551442829034041206531995223802021165252916595872804623200546     -                                                                               
D6                                                                               106199309932955723444869121265213810802547965589735314443545460590641592547163  30354235609507745022270880098367825898146798790184765363462720239842611758910   75845074323447978422598241166845984904401166799550549080082740350798980788253   115435326687706275581538738947649680493122452671957713531556731424951764296245  107894354298380559362002144299179861126599616284345062710153614073771937743368  58845486101261017981740301719467641274951589185394727029070106712192649337733   47343166300355820419815174365136233990621916809609361440757288060259555375950   104694148077125559779269651778451555914429641931265216600152939403673875377036  4603125630699649941503326758419244206228607685288924475421481413229703307261    -                                                                               -                                                                               6.594266167116118245982072232377719328620284908642428892343256768979930823594349     -                                                                               
D30                                                                              31618337285717882516849513048719113379043401426378398445206624775940577175940   106090861832466218759797193892650544914381742333886366193307932992908840892288  41319564690567859180623304164756476317499223371566936634503854924549897777989   38657515367158479587053686744507005844686880530332365887687845264160774773833   2950734820271426760827239103407625697223269828588717833086982549344573650864    74427165370147154460468075259344351271966458540308830370011623363170513073270   47343166300355820419815174365136233990621916809609361440757288060259555375950   38469819342021802810997511910999728945927439117556700188820810615974192832683   3461624959955494236032818265567543516469485010562528675281742823059786784368    -                                                                               -                                                                               30.64770535795715382771973251820597913196251996131207625682149566380788843726774     -                                                                               
D4                                                                               29708747345240510604058161157675613018438524558347840332072708388139349320849   34474990997990243135853969334004147863424296382919750726277613059677583163153   111025845584566462891775176832359373007851792454502993988400258469979927652033  51340101697096934652586980916098869515696621493420212348378677338066451533018   85583815393221650143086102273657680340777002616176084173792830888030534706467   31139422997874981157675319387712216675287177267697718458837930820078043628840   46742092025177417399183259249006954365069298834949399735864613527799008043602   99721523985864252325601471107974760028777724770900997673732280823316515166031   8077392993384086555529341399252356521180427623275468315766739438212247108680    -                                                                               -                                                                               4.268083901108627102745565590805181144811828129534522005113153640384242877513956     -                                                                               
D9                                                                               66675300751757892695131969267389358098390618569832994816029424600459276526348   90750914534973194915770161972017887906908286652090830378274645195432441502876   91716475454100893202932792304059378044319896196817068820359942546544996517809   95063741113142202469854311809242998951118607799628216094883657618374550805498   18659844359507577295863897953641516240820330749872602472176423230107249288543   71347433249636125677955615486197453213708245849578893297178352642635122172903   85759606703307655519958873505679947262954994186786454732298907424228719669067   39328485210639231063936216222391120471464734392331801279204943627682788584926   9898420028989273145687284183682076392934640110242552258320958564628727968048    -                                                                               -                                                                               9.168222228314528629700352624328810856077751590744890977112963996879787280696629     -                                                                               
D12                                                                              70646472922280389038714996795933750763064804807925490301085853281115329189122   58884813049401512325545422871435510343081873796370482054321039176827821454067   11761659872878876713169573924498240419982931011555008246764814104287507735055   92631290618512009982602374044202373965182125668354159576461980206147509034005   49070441675202541255870610214782841673563063340276883790136252517504183504954   46411779159551750675872372558098066682790822824774064751352566542836943080228   85759606703307655519958873505679947262954994186786454732298907424228719669067   77625380449499159918522346554106414746261629060413750905934455378674930208975   4692019833585526207052865051127881156712842226639482474957472506018789654473    -                                                                               -                                                                               12.54999235678916255389413607258110389044025861684036634043473385089482426070236     -                                                                               
D1                                                                               35327988785086892563651715877598329168549033987405896381615331809270765527232   16332409709501617246113945021794838822075195250591011506893731550289394146384   18995579075585275317537770855803490346473838736814884874721600258981371380848   58691286550529954054288531415274269013976719404131727100152640194643482401237   39750460806265992755894401452972787794514301012713401960824838969692661908730   62740066733654414687547149160908508404760740726883046526437166244023778579313   31816706992475720740217694285882985139361920521279891819105449432714129608547   103178739296719344814428105439069744928548768426710059090104252265872130127235  11964691019643831073014900339922389323121348570680065663078023423898048653227   -                                                                               -                                                                               1.365050688119466864843596058328797941993600243347476182460241632325494737719455     -                                                                               
D9                                                                               43834353120373395905693963877466156875281114703759412938954797555160041396897   80224974665224828560409841278377659521476549570107173639326254877205343375766   79401467692464762768855107607776405206642129412727143682233705819472859515468   78857851645561865086895135164257664482435985858224191086615226185254949782677   476737749303455812147941202986890523207397172478670408976502906207493218746     52998998409875533033158486234625723994787119901038821218587694913523720932481   31816706992475720740217694285882985139361920521279891819105449432714129608547   37061049462319941487676474465906032439169841281622104820003665993880513245087   8810854595184926724492792590674649268126243549294634791294368925065133011117    -                                                                               -                                                                               9.105243288099118351575938895138141191258346324477573536451273278856835552497553     -                                                                               
D32                                                                              23578300697231561729113396692883207387024383429934949461738343203786464429670   61291752159183865714844412497391069313028581256185405968888025958963146201693   78078637775363891437839969204180045926833366452824447875455480386341479722314   45270232914261298642204035561313030268879647871531514349445043424880024400206   29949662118004471383393483593057222280259567378508685742501778083905021912109   20707335035436785886519386692781592021353794126437857345144551488971577659499   31816706992475720740217694285882985139361920521279891819105449432714129608547   39850337764115800533090025737078228921254179114977579747937054266514731604791   1886368480201824816022757824453384505169118988338384574031642982692904459134    -                                                                               -                                                                               32.49192975946363775592576372724014442856125260932871182634280980292625419259446     -                                                                               
D22                                                                              64317780590390999345171700821862712517625370083993915217246950770650602062420   110188400480838200931567739338084449626213443455256361528348210434667732519861  69921469346868993837174946492466170744249490907812458071503903477501031036896   69272068156433328511592347909528085810472487804119557324081778903036053403001   101506660572822562512402035338403924543921780344755709042007997192115168422390  95595028126055663880950812641726972276517086940789334561252571463106981844524   31816706992475720740217694285882985139361920521279891819105449432714129608547   105157586439141588340761723909196013976021101258001228509870254164208340388560  4866329797883049348123935769878233003459957442486209935229013182025185975448    -                                                                               -                                                                               22.64301949464509286057823272159840183854210086489040828085471471347774555880779     -                                                                               
D3                                                                               97058995034318346065055352725893192464599300562075219355239551456138425953026   32892109697892114928459297132704989681067232229334630473662208364223641272383   64166885336426231136596055593188202783532068332740588881577343091914784680643   114681445206091663131129424376763691195505560563203862938128990396468187356452  35468697326054838081355510793780036343999792559063361672500844975525021882159   58354791207045289405880434085157210690186833610024794953728893815716832011962   31816706992475720740217694285882985139361920521279891819105449432714129608547   81876765351184926899757395937945821195065225450039881083808470198685293656264   8946744175451760734684994471540698810068000556432001440792356754489618935896    -                                                                               -                                                                               3.676433465946425884571896700204203462488784347150679689753028969418998705181515     -                                                                               
D14                                                                              91538264936510022383561046729649295831100135864074791031813199333768563242698   102904023841175669547793998670571440289741755402597780211452705924040822407254  104426330332650548259338033067765763394195944740551915202965656551245902329781  105570744456864041502466222027254392289446316644452333433443669061736454522453  80577779869601346158836864202461510254480587000037152344069217046752439025698   81894986972903255286291206629753782058225706271777083032793218610347649918888   22698606615935880991060484367959856364090288699810108561521930830430309063867   54946999889830079153868018516414505265748435468283750485114564844339119032246   7343387814385907670129994944018717081023051181809536622030380965961215564168    -                                                                               -                                                                               14.01315393415335233742455670967113459698315346376976624742763386042720681237712     -                                                                               
D0                                                                               68824329939199422739264937436677412279377326016863211620652027614939028488974   8237077540127016631569160073735493482629805665796454529216558228489113872928    60587252399072406107695777362941918796747520351066757091435469386449914616046   96953029266229831850321058695396379925696821513300806867520391033899983556371   48589837741206808533986117721393765519185059118782279043206442606565969973888   27884679223930881354651599761072624738127515724340148596261843259003071816954   22698606615935880991060484367959856364090288699810108561521930830430309063867   28405501053123413647663926840892449139114241121844374716488683613249363211042   12566931285138604517152694919239476986738335023988021126915300777017118354180   -                                                                               -                                                                               0.655456559221264763338262328113668669364944286474710122453576696410247453045368     -                                                                               
D4                                                                               82390370986163655654384861060912852849441874030499466546057761497587275924047   83344265079503469044902121684968169686701782301908579449716163506455879602900   114838195143976382033053724384632591015577656007665791478946761132649557815484  103350340097600330097351488241065245264898409441308361683556856727001706061044  40221648831624862222846423605151329434916271922834390347888629348264596328307   30856807196672818048337301193242662191181102671600793780010076491535705371636   30986919374319155344681936670734210304162173379783545697142463173242427741347   31670180739153953025162970385189569644055168139931640938019540864031158321591   19510463651853632325484979520455675603072267798072781133560475809343985513056   -                                                                               -                                                                               4.271772653213455189609649474820019910337551632943521149659303183412868949446584     -                                                                               
D3                                                                               77792124541722470129320924292031607270968964120594401005012642309101584097343   29326687465517622975476778102792254942861209055210352504918979610097645530466   48465437076204847153844146189239352328107755065384048500093662699003938566877   94814883609388231395514926916912168800936580658853913332103999676234792641247   98056998207624943550950286353468603202325784973097360642445219197016480579446   107937333659780083469075368827602906007313623931846347000810586859749326550243  30986919374319155344681936670734210304162173379783545697142463173242427741347   84794839204739158451107689310165870915935276815182132946322987293013556898727   9701088271059425064544913792509361151098497967556351696647212840568749921727    -                                                                               -                                                                               3.023030679249241436187024397625289358771375258395550469228636914732014023871953     -                                                                               
D3                                                                               108524029681091932346255062099787325030653947505638097153319668645813416937446  8760765575597710587911457278939722174198834949170019852189979759903487182152    99763264105494221758343604820847602856455112556468077301129688885909929755294   112300547854789981284000854362891996628999657336909122100445447528173964867185  28992112510090681553473720314042729028376953437958424907155927965457590375858   70570574758189216639301730737788953237488953857524354333670821500081028061040   30986919374319155344681936670734210304162173379783545697142463173242427741347   103772591890905784187652630341121782156011776003444936946309342373518303370987  2781520817546562089372878732856520276974072230049398633797859939718074904754    -                                                                               -                                                                               3.149631496673512552156806348295099536756345373313920716427815297242125530760525     -                                                                               
D124                                                                             21797485605854883402513277301320106860630225409100263111888472136493142587100   6976430766296078097062400781328178633283941411472358250488894493076225833164    14821054839558805305450876519991928227346283997627904861399577643416916753936   22041771366779016216751502796792650077540665455717236585545295190208845386308   8951162239512986097262930732430239128872091824270081771133098186622616294836    52905757533544972943820571465236016581335021873134097435560844753189743478123   30986919374319155344681936670734210304162173379783545697142463173242427741347   31263182540847605446167248788807667537005002240855623262594117685394226421262   56052883607062935311208204263760555601061260189623956431220355795593457588      -                                                                               -                                                                               124.4615855127391513869505182046862599864865878355678414474612299163147545512924     -                                                                               
D7                                                                               49033349225781592754024446662462139040818487575927802102560339016638405615965   73040373069481724268825383250348833509322000434478200868362629571686674274587   91785065393616063908770048420801213384334051420524505616802872586469892835715   68938959543613814704814480710383317785432474516489626462507238059191555295473   109807267988143305564000853761472740735029707966537265725933118268363598577255  37525267800085250625652523776149282307466231433122366929690579240215655972099   39324181616603828829159171354183937522951426974899057188663879379568539529781   17693229808796752941500444714906210702218435702411228779421108654077514597502   9222128590117148852444378566619781551590513694804153382666540931532106256949    -                                                                               -                                                                               7.920120865345024558829040908198045305641350734369171244607710011922775327416269     -                                                                               
D2                                                                               81832971448778449088121795020691996197944549743941759929686159016205014234920   46007329543545435071819815231936782605966711298159958853768612261866856632243   35825641905233014016301979788755213591977838445781801075917546754338157602677   114319951655929641414402314029962630496268115859354555158460647245573075007873  101913628241945974875380946055641721592439982277868951742310603396254512351297  15626982589106318340859406950446365583691849439374224536663655443603849753884   39324181616603828829159171354183937522951426974899057188663879379568539529781   72005955139449783693962178677814340141852399006528538860509908409909703331126   16859011034476064435560757002150727601297417513116169472137182557468892689014   -                                                                               -                                                                               2.728945929833139046752579325034886056331237762905042990691239850469035758562894     -                                                                               
D6                                                                               29263042007564940465399282905037881540165763479312806705051944156498540936699   78948938644988219607826891518283891099424246340834170690465890613568226494364   66106192599892916281143376395441898293579081417553540397191216684448475936672   45916404581440516486921836790801135759083563578650621139056279581474323007347   32651929542395659385851135794701723235890755459297844029480877023874259334860   109219290906489117124273975546025554141601816979026841764937287936277833516542  4116934194549709587486970806721802473629908255570929973946080071379080200717    15681407644750232093889768934102089178355407676958139441541218779594805255614   12609679433689364443876729019274627321247963379974992271047608731522758866051   -                                                                               -                                                                               6.260979040756564748847242637710588407943517990790576451061027572858049846873962     -                                                                               
D6                                                                               47164897449936003731829154021658782107993413283362107905272357131046004522914   91402201565576771504043779780151853373784414078997441423246398759094511058848   71554785121675427651356359250194836587046563483439570864631121513469654958403   63319700642406135624626295968495875743678309493367875533240451249102457106597   79201305655009904918616069185921861432052767391638836152092887190741516594922   106230922050924498794532550615712888441060840550749043254653777548727592309361  4116934194549709587486970806721802473629908255570929973946080071379080200717    77491638465155910334948999095843174878636872905946797964935350979547572270104   14855291064995739946234870127984594836623620863350572649336168894933099355548   -                                                                               -                                                                               6.152838148082626136370674597794960130810574191537723428604179678655777264342398     -                                                                               
D1                                                                               67695341790389485917620428502668518609966414676662356658764658703037974553748   12500782198080522842489990283521512024808989586034505748241454359633801841213   55194559592308963075130438219147006585157425090627850910523204343404172712535   86516343865858633060633554740507672069220246090828949161664483342446332088896   80530435586728784485988638547764374104144198408465823201406715865755586951076   63272304490558704633555802779798536590755858396009126276043975881621171899278   4116934194549709587486970806721802473629908255570929973946080071379080200717    107473034037201874943517558197274531747175778268442533947639967571999331564863  11232335563982044488581049789151058232204920434162579150065184784812901948304   -                                                                               -                                                                               1.112928128515490461553488276846107733558440876642245207516194228504468700817959     -                                                                               
