Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

Using legacy P2PKH preimage for signing.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered                 hypothesis  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D7           962150944   376384308   585766636   1190452749  139263760   1000656729  423440386   555562281   48943724    -           -           7.690144460605408775     -                           HYP-005     
D15          865768277   220513464   645254813   1036043390  43328537    72649538    552921097   94719341    14392712    -           -           15.32118922410175372     -                           -           
D15          143812917   449719520   935724140   257914091   694672182   375959577   552921097   665235648   29711743    -           -           15.13608676542470093     -                           -           
D0           949151072   50391147    898759925   1187342367  635043333   289040643   985788427   164748085   234577187   -           -           0.214816912268625678     -                           -           
D11          123776374   240956174   1124450943  144439435   823863953   727437638   985788427   1239627623  20461069    -           -           11.77632380791052510     -                           -           
D33          138161752   540379839   839412656   199283010   479961576   1052058022  985788427   707009147   15919236    -           -           33.94508624660128161     -                           -           
D0           582949161   188230844   394718317   931610246   961439876   88041124    1022615564  694679850   234288076   -           -           0.803416235318779091     -                           -           
D182         880140990   644349279   235791711   894055488   1226518525  1062078778  1022615564  51758008    3527616     -           -           182.6585657282425298     -                           -           
D31          115573184   1197988278  159215649   193027195   447367379   292416944   958519314   811687070   38119173    -           -           31.42744670772369589     -                           -           
D4           838219152   968858664   1110991231  1154627425  970987418   1178073642  958519314   659516347   205402606   -           -           4.716876201658317811     -                           HYP-005     
D15          370271912   217674869   152597043   726128452   98990173    706437798   958519314   260843864   14415372    -           -           15.10019089344347131     -                           -           
D4           459211718   347093128   112118590   646880473   107520214   1068200373  777197588   10431921    83874208    -           -           4.138258187785212827     -                           -           
D233         282046866   995410082   528267527   420940744   726506024   333590632   1117397015  1218062129  4259110     -           -           233.7131658961614046     -                           HYP-005     
