Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

Using legacy P2PKH preimage for signing.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered                 hypothesis  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D1           47012       9990        37022       85892       16058       3208        59393       47308       8132        -           -           1.228480078701426463     -                           -           
D70          66817       70030       96454       83274       50468       62806       57347       96086       989         -           -           70.80889787664307381     -                           -           
D5           67218       30011       37207       98058       82730       65413       57347       78316       5538        -           -           5.419104369808595160     -                           -           
D59          96785       47192       49593       98440       21624       61877       57347       96535       795         -           -           59.36100628930817610     -                           -           
D3           61998       41795       20203       78701       45907       66560       57347       21032       11889       -           -           3.515434435192194465     -                           HYP-005     
D13          60676       88864       71479       74216       21317       32498       61455       8766        6516        -           -           13.63781461019030079     -                           -           
D4           57248       76873       80042       77365       52476       48967       61455       73992       17014       -           -           4.518220289173621723     -                           HYP-005     
D4           45734       72822       72579       74904       45077       79787       75793       57283       16564       -           -           4.396401835305481767     -                           HYP-005     
D5           56841       81673       74835       98462       15744       25670       49171       66127       15220       -           -           5.366162943495400788     -                           -           
D0           35590       592         34998       69850       78733       69974       49171       83032       1330        -           -           0.445112781954887218     -                           -           
D16          42054       97195       44526       51060       65338       89414       49171       87421       6030        -           -           16.11857379767827529     -                           -           
D3           54209       10502       43707       79993       78432       97875       90132       65385       2641        -           -           3.976524043922756531     -                           -           
D42          50676       30958       19718       52026       79409       9788        90132       19924       726         -           -           42.64187327823691460     -                           -           
D2           52265       12402       39863       58151       44354       33912       53267       92571       5177        -           -           2.395595904964265018     -                           HYP-005     
D0           28911       4196        24715       45792       34537       56843       53267       66212       12030       -           -           0.348794679966749792     -                           -           
D0           54529       2741        51788       94183       32815       14205       69651       71685       14875       -           -           0.184268907563025210     -                           -           
