Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D1           33436       10126       23310       45940       30951       44533       94770       74914       8428        -           -           1.201471286188894162     
D1           68667       22866       45801       86129       8546        46858       94770       72263       16281       -           -           1.404459185553712916     
D1           61461       27709       33752       85240       64289       18439       94770       23120       13903       -           -           1.993023088542041286     
D1           64098       19551       44547       90719       35708       6051        94770       72222       10856       -           -           1.800939572586588061     
D1           60980       25877       35103       83541       62174       67885       94770       46179       15858       -           -           1.631794677765165846     
D1           22322       11140       11182       35402       50888       59106       94770       93345       9242        -           -           1.205366803722138065     
D1           64830       27086       37744       90460       44881       89838       94770       58869       13570       -           -           1.996020633750921149     
D1           36205       18227       17978       48653       95937       25879       94770       97284       11309       -           -           1.611725174639667521     
D1           34928       7777        27151       44343       8319        39829       94770       4913        6683        -           -           1.163698937602872961     
D1           83682       7520        76162       92528       85713       85461       94770       39312       4068        -           -           1.848574237954768928     
D1           69596       13308       56288       85066       62894       78890       94770       99027       7716        -           -           1.724727838258164852     
D1           74018       6581        67437       85510       93160       8549        94770       39731       5066        -           -           1.299052506908803790     
D1           69497       30696       38801       93236       54242       29581       94770       65796       22019       -           -           1.394068758799218856     
D1           64972       16569       48403       91764       69001       59493       94770       11573       11388       -           -           1.454952581664910432     
D1           61921       15813       46108       85475       70152       52760       94770       7003        14813       -           -           1.067508269763045973     
D1           49963       8252        41711       92590       63500       94536       94770       4307        7336        -           -           1.124863685932388222     
D1           67291       23073       44218       92951       18820       87105       94770       32205       15971       -           -           1.444680984284014776     
D1           54581       24498       30083       92352       65695       63825       94770       78983       16810       -           -           1.457346817370612730     
D1           24510       12774       11736       38641       55999       3110        94770       15351       10379       -           -           1.230754407939107813     
D1           49368       23243       26125       86432       7628        57606       94770       74100       12304       -           -           1.889060468140442132     
D1           60900       55851       5049        93537       31533       80516       94770       88916       28263       -           -           1.976117185012206772     
D1           57767       43206       14561       92455       87598       34313       94770       99490       23079       -           -           1.872091511763941245     
D1           44287       32621       11666       69361       83974       84636       97082       58942       19213       -           -           1.697860823400822359     
D1           36839       16567       20272       62826       35918       23760       97082       65584       10852       -           -           1.526631035753778105     
D1           33066       10453       22613       45394       77059       59345       97082       88059       8410        -           -           1.242925089179548157     
D1           60393       51894       8499        93897       7852        55367       97082       3383        26889       -           -           1.929934173825727992     
D1           21764       7689        14075       39388       58128       39910       97082       94477       4140        -           -           1.857246376811594202     
D1           57439       29219       28220       88737       96353       99550       97082       48742       26141       -           -           1.117746069392907692     
D1           62476       11374       51102       70300       95464       47813       97082       62055       7708        -           -           1.475609756097560975     
D1           53038       14847       38191       91967       57918       48159       97082       8348        14109       -           -           1.052307038060812247     
D1           42277       13437       28840       73121       98099       44384       97082       13149       11433       -           -           1.175282078194699553     
D1           36685       12677       24008       66204       52987       76632       97082       89826       7166        -           -           1.769048283561261512     
D1           65118       31819       33299       98905       20692       13111       97082       39667       31331       -           -           1.015575627972295809     
D1           44633       21671       22962       76567       87014       43711       97082       48922       12699       -           -           1.706512323805024017     
D1           31942       16905       15037       54164       15560       72435       97082       51532       9720        -           -           1.739197530864197530     
D1           48946       45214       3732        74810       92390       51501       97082       14950       23082       -           -           1.958842388007971579     
D1           86196       696         85500       87214       37690       1187        97082       35493       684         -           -           1.017543859649122807     
D1           49656       27776       21880       79631       68413       86306       97082       21129       19681       -           -           1.411310400894263502     
D1           58833       46213       12620       89305       11812       23068       97082       96608       28361       -           -           1.629455943020344839     
C            10981       22470       88178       11021       53036       67444       97082       57193       21          1070        -           -                        
D1           10219       2785        7434        18842       31338       58348       97082       47302       1596        -           -           1.744987468671679198     
D1           30039       9715        20324       52250       60670       69293       63456       37710       7828        -           -           1.241057741440981093     
C            19901       36865       82703       29851       83881       92436       63456       94216       1           36865       -           -                        
D1           80155       20457       59698       97397       43669       82780       63456       27183       11187       -           -           1.828640386162510056     
D1           59408       44856       14552       93475       15236       23209       63456       69448       25341       -           -           1.770095892032674322     
D1           71643       5051        66592       76431       28804       44940       63456       59581       4611        -           -           1.095423986120147473     
D1           39463       12866       26597       54916       25255       92021       63456       17570       8557        -           -           1.503564333294378871     
D1           41887       15051       26836       52661       640         46334       63456       13572       9565        -           -           1.573549398849973863     
D1           34140       22220       11920       54389       36231       31389       63456       53010       13891       -           -           1.599596861277085882     
D1           62814       17163       45651       86692       33286       74416       63456       44624       15058       -           -           1.139792801168813919     
D1           73948       4181        69767       80352       81273       86615       63456       32310       3504        -           -           1.193207762557077625     
D1           7312        2545        4767        9270        81841       54345       63456       23790       1438        -           -           1.769819193324061196     
D1           9707        5034        4673        16856       17291       21478       63456       25028       2558        -           -           1.967943706020328381     
D1           34270       13757       20513       55971       32954       4620        63456       23225       12569       -           -           1.094518259209165407     
D1           57239       32338       24901       90402       21846       28062       24462       8907        24076       -           -           1.343163316165475992     
D1           53989       24024       29965       87853       37249       48890       24462       14725       20125       -           -           1.193739130434782608     
D1           10178       4471        5707        17149       46537       44303       24462       14375       3207        -           -           1.394137823511069535     
D1           44277       33862       10415       69678       46554       7850        24462       52414       18876       -           -           1.793918203009112100     
D1           80574       19631       60943       96894       54207       61609       24462       21426       15294       -           -           1.283575258271217470     
D1           56889       41111       15778       90384       69634       97862       24462       7940        23394       -           -           1.757330939557151406     
D1           75750       20337       55413       97275       24353       85793       24462       18041       11175       -           -           1.819865771812080536     
D1           77086       3049        74037       86358       41891       24760       24462       96084       2910        -           -           1.047766323024054982     
D1           76492       22571       53921       97061       46816       63071       24462       42287       14785       -           -           1.526614812309773419     
D1           43490       13892       29598       79757       78986       99427       24462       38963       7223        -           -           1.923300567631178180     
D1           78312       3571        74741       87827       53041       8153        24462       45430       2192        -           -           1.629105839416058394     
D1           63642       4283        59359       83801       29861       83759       24462       85028       3165        -           -           1.353238546603475513     
D1           50602       2632        47970       98630       39480       51073       24462       13289       2574        -           -           1.022533022533022533     
D1           45684       5875        39809       87684       5748        22071       24462       49297       3684        -           -           1.594733984799131378     
D1           49855       23070       26785       67917       94072       89608       24462       65728       13731       -           -           1.680139829582696089     
D1           65841       39667       26174       87973       35756       80361       24462       9509        21577       -           -           1.838392733002734393     
D1           63641       1319        62322       84496       78370       92676       24462       93541       1076        -           -           1.225836431226765799     
D1           46332       36284       10048       70451       24657       88748       24462       41684       22213       -           -           1.633457885022284248     
D1           50204       1391        48813       54666       12619       79531       24462       65626       1122        -           -           1.239750445632798574     
C            27564       22248       5316        27657       41141       94229       25615       37594       36          618         -           -                        
D1           76522       8361        68161       90806       63119       10322       25615       50785       5102        -           -           1.638769110152881223     
D1           48294       18717       29577       77920       11912       60784       25615       95460       18668       -           -           1.002624812513391900     
D1           44507       21635       22872       59367       91763       33446       25615       74861       14787       -           -           1.463109488063839859     
C            44762       65345       79084       47393       89537       33339       25615       25722       35          1867        -           -                        
