Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered 
D1           30946       4815        26131       36307       12191       86205       98356       95735       4141        -           -           1.162762617725187152     -           
D7           39526       95985       43208       66565       88077       3649        98356       24457       12487       -           -           7.686794266036678145     -           
D135         72333       33452       38881       72875       6838        8479        32820       31896       247         -           -           135.4331983805668016     -           
D7           25682       40334       85015       35797       22693       9945        32820       22089       5452        -           -           7.398019075568598679     -           
D26          38464       60853       77278       42081       97887       18062       32820       36865       2294        -           -           26.52702702702702702     -           
D12          49151       49030       121         64269       22742       22358       32820       80316       3797        -           -           12.91282591519620753     -           
D5           15424       36018       79073       24835       24769       90055       32820       54396       6013        -           -           5.990021619823715283     -           
D6           54698       55153       99212       66186       74914       24446       32820       7032        8746        -           -           6.306082780699748456     -           
D22          47115       99316       47466       52446       45560       82478       32820       12629       4467        -           -           22.23326617416610700     -           
D9           25079       52662       72084       44596       96588       80619       32820       89421       5562        -           -           9.468176914778856526     -           
D7           50984       74106       76545       92276       14          92020       32820       76484       9692        -           -           7.646099876186545604     -           
D5           9469        15738       93398       16307       51424       44157       32820       20595       2631        -           -           5.981755986316989737     -           
D7           53712       14598       39114       62328       10163       56523       32820       64962       2016        -           -           7.241071428571428571     -           
D2           48054       31726       16328       60086       41393       81369       32820       8014        11958       -           -           2.653119250710821207     -           
D14          11358       50430       60595       19252       86102       63230       32820       36329       3464        -           -           14.55831408775981524     -           
D5           25616       55952       69331       41899       58895       43269       32820       43804       9333        -           -           5.995071252544733740     -           
D234         95105       27006       68099       95223       20639       29713       32820       22582       115         -           -           234.8347826086956521     -           
D5           37227       52104       84790       65178       99326       29329       32820       66779       9276        -           -           5.617076326002587322     -           
D318         77029       88127       88569       81293       72624       66008       32820       5396        277         -           -           318.1480144404332130     -           
D5           55462       42584       12878       67385       25457       51780       32820       84157       7770        -           -           5.480566280566280566     -           
D2           40125       28150       11975       69720       13300       6300        32820       56580       10530       -           -           2.673314339981006647     -           
D3           25400       9386        16014       31069       31254       54012       32820       14325       2724        -           -           3.445668135095447870     -           
D56          60117       77329       82455       65992       66373       70005       32820       64284       1367        -           -           56.56839795171909290     -           
D5           40612       54852       85427       55658       95171       18387       32820       67999       10520       -           -           5.214068441064638783     -           
D3           54063       81554       72176       81424       45370       61968       32820       67394       26702       -           -           3.054228147704291813     -           
D178         42768       13600       29168       44410       47062       8345        32820       46655       76          -           -           178.9473684210526315     -           
D5           49794       50174       99287       90384       18161       21205       32820       49614       9204        -           -           5.451325510647544545     -           
D68          26833       63528       62972       28560       27988       54528       32820       45242       928         -           -           68.45689655172413793     -           
D36          78381       25738       52643       80107       37975       74484       32822       41891       711         -           -           36.19971870604781997     -           
D3           78335       44575       33760       94760       7482        85746       32822       83195       12635       -           -           3.527898694103680253     -           
D3           47640       9434        38206       69918       83167       43813       32822       92430       3084        -           -           3.059014267185473411     -           
D0           72196       2784        69412       89201       41647       40853       32822       36919       4176        -           -           0.666666666666666666     -           
D5           28792       48034       80425       38461       31557       82667       32822       45336       9454        -           -           5.080812354558916860     -           
D1           50227       40504       9723        78388       94018       3603        32822       75118       22066       -           -           1.835584156621045953     -           
D0           62050       5811        56239       93175       39069       3681        32822       33873       30925       -           -           0.187906224737267582     -           
D3           52582       24623       27959       97494       1973        16669       32822       55630       7670        -           -           3.210299869621903520     -           
D11          41883       41092       791         80265       31414       12081       32822       44584       3501        -           -           11.73721793773207655     -           
D49          33606       83964       49309       65508       67271       70598       32822       28486       1704        -           -           49.27464788732394366     -           
D21          18517       85312       32872       25763       56101       7176        32822       36533       4025        -           -           21.19552795031055900     -           
D87          74277       96673       77271       76987       66386       77402       32822       35161       1107        -           -           87.32881662149954832     -           
D2           45757       42164       3593        74299       41394       98554       32822       17361       17215       -           -           2.449259366831251815     -           
D0           19257       5511        13746       25790       60177       4618        32822       72543       6191        -           -           0.890163140041996446     -           
D43          82801       38813       43988       87112       94876       37760       32822       44219       892         -           -           43.51233183856502242     -           
D3           51595       74714       76548       84070       73599       1442        32822       63090       19120       -           -           3.907635983263598326     -           
D5621        35788       67456       67999       36204       58964       24057       32822       20873       12          -           -           5621.333333333333333     -           
D0           51816       16900       34916       77946       59623       38482       32822       82473       25686       -           -           0.657945962781281632     -           
D40          63756       53054       10702       94974       48929       49150       32822       3798        1320        -           -           40.19242424242424242     -           
D1           47457       14029       33428       60797       38815       67903       32822       99521       7437        -           -           1.886378916229662498     -           
D9           62120       18155       43965       68807       13813       22712       32822       9569        1937        -           -           9.372741352607124419     -           
D455         84942       83292       1650        86429       62522       35998       32822       31112       183         -           -           455.1475409836065573     -           
D43          16466       57359       58774       20255       55851       75530       32822       11529       1310        -           -           43.78549618320610687     -           
D5           47777       83494       63950       64395       19723       76339       32822       6235        14541       -           -           5.741970978612199986     -           
D8           62106       56092       6014        89730       72922       31188       32822       67527       6858        -           -           8.179060950714494021     -           
D1           16352       7185        9167        28594       6123        39445       32822       90976       4110        -           -           1.748175182481751824     -           
D18          34458       59945       74180       50065       62784       20506       32822       76372       3244        -           -           18.47872996300863131     -           
D53          47914       71048       76533       94494       92267       52272       32822       36948       1334        -           -           53.25937031484257871     -           
D33          2308        25748       76227       3079        73844       46682       32822       61174       766         -           -           33.61357702349869451     -           
D9           24166       37814       86019       29243       89426       41388       32822       53747       3858        -           -           9.801451529289787454     -           
D2           55265       43374       11891       94655       55310       86217       32822       13548       15875       -           -           2.732220472440944881     -           
D42          44767       95003       49431       53273       68766       83303       32822       47284       2237        -           -           42.46893160482789450     -           
D21          16379       2735        13644       32631       69231       79576       98357       77586       127         -           -           21.53543307086614173     -           
D4           35060       9736        25324       67763       33951       9622        98357       5211        2357        -           -           4.130674586338565973     -           
D6           58138       35312       22826       65666       26215       79527       98357       10871       5442        -           -           6.488790885703785373     -           
D53          26220       71997       53890       29773       62283       57007       98357       36808       1349        -           -           53.37064492216456634     -           
D15          15686       21142       94211       30032       25338       92108       98357       45063       1340        -           -           15.77761194029850746     -           
D78          80567       69097       11470       88536       97915       34082       98357       76133       877         -           -           78.78791334093500570     -           
D8           76603       24293       52310       88869       74758       62908       98357       73866       3007        -           -           8.078816095776521450     -           
D15          35605       95156       40116       50252       87992       11785       98357       22768       6311        -           -           15.07780066550467437     -           
D6           58533       95819       62381       73358       12804       50244       98357       30700       14058       -           -           6.815976668089344145     -           
D2           63924       7408        56516       84086       72803       40251       98357       27840       3438        -           -           2.154741128563118091     -           
D5           43687       35323       8364        80887       49477       83225       98357       27858       6487        -           -           5.445198088484661631     -           
D5           73703       45694       28009       95284       66876       65844       98357       62186       8960        -           -           5.099776785714285714     -           
D3           24755       20287       4468        44260       10145       1478        98357       10455       5250        -           -           3.864190476190476190     -           
D3           67606       10993       56613       71206       13913       84822       98357       22781       2806        -           -           3.917676407697790449     -           
D0           79100       1757        77343       87974       97485       77245       98357       88384       8108        -           -           0.216699555994079921     -           
D0           68720       8933        59787       86765       80946       58882       98357       72201       14585       -           -           0.612478573877271169     -           
D15          72452       49829       22623       79367       92502       907         98357       44951       3302        -           -           15.09055118110236220     -           
D5           40629       61602       78694       55757       33563       8453        98357       961         10373       -           -           5.938686975802564349     -           
D5           40789       52247       88209       56092       55694       91726       98357       59770       10183       -           -           5.130806245703623686     -           
D9           81187       64490       16697       96102       69573       50443       98357       24340       6612        -           -           9.753478523895946763     -           
D22          49077       67861       80883       95144       46247       3864        98357       50155       3010        -           -           22.54518272425249169     -           
D1022        61034       94046       66655       71191       32136       13360       98357       83586       92          -           -           1022.239130434782608     -           
D16          85623       74406       11217       90388       19683       1868        98357       55268       4618        -           -           16.11216977046340407     -           
D3           63552       28294       35258       74558       32198       17733       98357       54233       8522        -           -           3.320112649612766956     -           
D3           26599       24627       1972        46379       98531       28824       98357       59024       6819        -           -           3.611526616805983282     -           
D0           58543       16296       42247       98257       62050       35546       98357       50616       18829       -           -           0.865473471772266185     -           
D93          43654       38247       5407        46537       4284        10736       98357       39443       409         -           -           93.51344743276283618     -           
D4           64849       15669       49180       85325       89300       62530       98357       56355       3421        -           -           4.580239695995323005     -           
D0           45398       5809        39589       64065       79366       34476       98357       12185       8064        -           -           0.720362103174603174     -           
D5           27076       35987       90756       47109       38235       31524       98357       75397       7043        -           -           5.109612381087604713     -           
D2           38646       46166       92147       58190       64015       53645       98357       1950        19102       -           -           2.416814993194429902     -           
D1           41333       5656        35677       78822       41462       76799       98358       80177       3844        -           -           1.471383975026014568     -           
D0           57099       9330        47769       89398       1687        78156       98358       50932       24800       -           -           0.376209677419354838     -           
D0           57015       7524        49491       78298       47112       78196       98358       32774       14449       -           -           0.520728078067686345     -           
D11          53968       1902        52066       54409       34484       59659       98358       17960       166         -           -           11.45783132530120481     -           
D434         26382       45624       80425       52659       76594       51950       98358       6944        105         -           -           434.5142857142857142     -           
D2255        30686       83446       46907       61335       97984       13821       98358       98966       37          -           -           2255.297297297297297     -           
D3           49879       63655       85891       79969       52079       91336       98358       22687       19789       -           -           3.216686037697710849     -           
D0           47449       6159        41290       87513       9683        32504       98358       42768       7385        -           -           0.833987813134732566     -           
D8           54707       29372       25335       67543       93268       76636       98358       96376       3363        -           -           8.733868569729408266     -           
D15          46906       44413       2493        90883       39552       58663       98358       48426       2929        -           -           15.16319562990781836     -           
D4           54172       81558       72281       72230       92934       24251       98358       84186       18056       -           -           4.516947275143996455     -           
D9           46177       9742        36435       91277       53164       19883       98358       2786        1077        -           -           9.045496750232126276     -           
D36          59404       74969       84102       64182       57751       96484       98358       49330       2068        -           -           36.25193423597678916     -           
D13          48126       57493       90300       62781       54099       72332       98358       31055       4161        -           -           13.81711127132900745     -           
D3958        7918        51465       56120       8011        64057       32027       98358       79136       13          -           -           3958.846153846153846     -           
D62          54179       11160       43019       57554       45526       23518       98358       1270        179         -           -           62.34636871508379888     -           
D3           41374       50453       90588       66409       37757       59028       98358       36606       16339       -           -           3.087887875634983781     -           
D5           22573       18028       4545        41570       18082       40008       98358       87211       3576        -           -           5.041387024608501118     -           
D27          58016       68956       88727       69126       52489       1152        32825       9653        2466        -           -           27.96269261962692619     -           
D4           69104       44018       25086       98990       11001       3796        32825       33933       9332        -           -           4.716888126875267895     -           
D47          54937       65573       89031       72792       83945       45740       32825       58286       1372        -           -           47.79373177842565597     -           
D5           59235       59554       99348       75577       94481       75072       32825       27125       10209       -           -           5.833480262513468508     -           
D251         52981       87154       65494       54576       83421       48732       32825       5197        346         -           -           251.8901734104046242     -           
D67          60470       53418       7052        63454       30559       45581       32825       34932       790         -           -           67.61772151898734177     -           
D16          83018       59794       23224       94367       65918       22719       32825       41898       3575        -           -           16.72559440559440559     -           
D280         68104       77432       90339       69198       93349       27627       32825       91641       276         -           -           280.5507246376811594     -           
D17          50090       75286       74471       95776       73267       48803       32825       84027       4404        -           -           17.09491371480472297     -           
D6           44110       51937       91840       80034       58722       79016       32825       83627       8186        -           -           6.344612753481553872     -           
D5           66499       15973       50526       87696       45903       74617       32825       89165       2908        -           -           5.492778541953232462     -           
D22          64812       26536       38276       68161       94429       69419       32825       8976        1181        -           -           22.46909398814563928     -           
D1           61108       46150       14958       98021       3760        16381       32825       58063       24195       -           -           1.907418888200041330     -           
D1           54324       40024       14300       82423       46039       71790       32825       20569       26225       -           -           1.526177311725452812     -           
D5           37406       89252       47821       58411       6598        97123       32825       78442       16401       -           -           5.441863301018230595     -           
D0           49086       383         48703       90880       82081       65170       32825       81945       7292        -           -           0.052523313219967087     -           
D22          34662       66409       67920       66320       1751        55478       32825       41988       3004        -           -           22.10685752330226364     -           
D11          72902       29835       43067       86949       85845       80271       32825       38871       2667        -           -           11.18672665916760404     -           
D108         34448       84503       49612       51281       74380       48450       32825       94055       782         -           -           108.0601023017902813     -           
D19          20355       74481       45541       24466       74307       55484       32825       88200       3911        -           -           19.04397852211710560     -           
D1           73553       10333       63220       94755       33819       3778        32825       78693       9947        -           -           1.038805670051271740     -           
D19          90216       18532       71684       93787       3872        57863       32826       42528       941         -           -           19.69394261424017003     -           
D3           68455       48984       19471       86729       33718       242         32826       3182        13633       -           -           3.593046284750238392     -           
D24          86684       97225       89126       92590       17306       23514       32826       44702       4000        -           -           24.30625                 -           
D5           49603       54892       94378       62792       78288       81753       32826       62509       10036       -           -           5.469509764846552411     -           
D39          10591       29564       80694       15511       62102       71962       32826       21628       751         -           -           39.36617842876165113     -           
D8           53083       56990       95760       62339       85011       78017       32826       4634        6803        -           -           8.377186535352050565     -           
D22          82957       31238       51719       84947       19518       66832       32826       50790       1367        -           -           22.85149963423555230     -           
D3           52395       51990       405         72040       53720       68425       32826       32710       13105       -           -           3.967188096146508966     -           
D2           67063       34987       32076       92055       69820       78877       32826       11733       17079       -           -           2.048539141635927162     -           
D8           33051       91550       41168       44231       17938       77228       32826       39743       10691       -           -           8.563277523150313347     -           
D5           46405       83119       62953       61994       2405        28952       32826       45123       15227       -           -           5.458658961056018913     -           
D10          25572       17029       8543        27754       53177       42859       32826       87033       1570        -           -           10.84649681528662420     -           
D0           47358       14395       32963       76191       36545       60825       32826       63886       18525       -           -           0.777058029689608636     -           
D27          82151       45029       37122       85027       4237        18862       32826       98525       1623        -           -           27.74430067775723968     -           
D4           57371       52449       4922        72390       41678       80227       32826       2065        12314       -           -           4.259298359590709761     -           
D5           75535       29326       46209       82511       35580       190         32826       77824       5775        -           -           5.078095238095238095     -           
D1           84585       4390        80195       91884       65745       81777       32826       59585       4296        -           -           1.021880819366852886     -           
D33          83346       93335       89678       86445       75696       34552       32826       91414       2772        -           -           33.67063492063492063     -           
D7           18008       25582       92093       22880       89873       44570       32826       45913       3392        -           -           7.541863207547169811     -           
D13          30673       70510       59830       56162       39069       81732       32827       43936       5184        -           -           13.60146604938271604     -           
D40          44375       11371       33004       49274       44068       43122       32827       70580       284         -           -           40.03873239436619718     -           
D0           49077       3499        45578       89861       68115       8308        32827       41472       8293        -           -           0.421922102978415531     -           
D0           55645       14993       40652       86095       68639       1311        32827       43913       25195       -           -           0.595078388569160547     -           
D68          64066       15381       48685       64446       91947       20364       32827       25599       226         -           -           68.05752212389380531     -           
D4           39539       62453       76753       65883       17549       31297       32827       96138       13195       -           -           4.733080712391057218     -           
D10          74080       23700       50380       98000       46831       95651       32827       656         2320        -           -           10.21551724137931034     -           
D1           51377       20392       30985       91307       85254       42390       32827       14866       11447       -           -           1.781427448239713462     -           
D55          40236       67781       72122       59747       37622       63171       32827       43472       1214        -           -           55.83278418451400329     -           
D65          35023       68381       66309       46349       24843       12210       32827       58873       1045        -           -           65.43636363636363636     -           
D8           60687       83966       76388       86125       11122       54985       32827       64421       9811        -           -           8.558352869228417082     -           
D7           51655       66964       84358       73030       81115       9591        32827       81505       8905        -           -           7.519820325659741718     -           
D23          90121       18092       72029       97566       97930       72069       32827       47614       781         -           -           23.16517285531370038     -           
D0           37874       3480        34394       45975       50006       43600       32827       47687       5470        -           -           0.636197440585009140     -           
D6           38157       21579       16578       72852       53033       77635       32827       48602       3462        -           -           6.233102253032928942     -           
D6           70242       77988       91921       99584       47685       3572        32827       39580       11558       -           -           6.747534175462882851     -           
D8           79653       82370       96950       93673       8608        63889       32827       85713       9553        -           -           8.622422275724903171     -           
D2           44318       48206       95779       70079       42961       47115       32827       31724       18557       -           -           2.597725925526755402     -           
D10          31371       87578       43460       54032       77761       45759       32827       1916        8710        -           -           10.05487944890929965     -           
D8           50947       83557       67057       92562       41074       34653       32827       11380       9332        -           -           8.953814830690098585     -           
D30          75386       76950       98103       93599       54888       5658        32827       3673        2534        -           -           30.36700868192580899     -           
D4           52739       14899       37840       60997       25897       29548       32827       8683        3191        -           -           4.669069257286117204     -           
D989         33188       94948       37907       41461       64590       39977       32827       83136       96          -           -           989.0416666666666666     -           
D18          68743       68977       99433       72570       35471       83684       32827       991         3684        -           -           18.72339847991313789     -           
D121         28378       71847       56198       33009       75469       22302       32827       11748       592         -           -           121.3631756756756756     -           
D18          14974       43743       70898       17505       70026       70423       32827       20133       2319        -           -           18.86287192755498059     -           
D1           28725       3670        25055       41889       50767       71472       32827       37319       2397        -           -           1.531080517313308302     -           
D24          27835       76979       50523       52579       2005        71011       32827       75497       3091        -           -           24.90423811064380459     -           
D21          43381       98155       44893       62745       23513       59507       32827       56198       4653        -           -           21.09499247797120137     -           
D358         45739       13276       32463       50817       46111       59318       32827       27855       37          -           -           358.8108108108108108     -           
D151         58601       53358       5243        65073       95518       98210       98361       39263       353         -           -           151.1558073654390934     -           
D1           50422       38182       12240       81658       88844       41515       98361       34815       19186       -           -           1.990096945689565308     -           
D21          18966       43995       74638       35868       47638       91207       98361       17866       2064        -           -           21.31540697674418604     -           
D1           53418       5354        48064       59645       14131       71868       98361       57624       3602        -           -           1.486396446418656302     -           
D2           59817       60076       99408       99025       98153       30414       98361       21026       20609       -           -           2.915037119704983259     -           
D8           82362       62964       19398       93073       82803       19539       98361       33258       7385        -           -           8.525930941096817874     -           
D5           38681       52719       85629       67014       5023        25570       98361       79002       10348       -           -           5.094607653652879783     -           
D7           84021       9685        74336       87469       91908       56444       98361       59280       1269        -           -           7.631993695823483057     -           
D1           48433       6645        41788       70690       61297       36883       98361       90043       3919        -           -           1.695585608573615718     -           
D66          41849       95406       46110       62056       6535        78584       98361       59220       1435        -           -           66.48501742160278745     -           
D13          14477       57184       56960       19652       96801       83872       98361       29748       4127        -           -           13.85606978434698328     -           
D5           28067       38487       89247       38822       87063       94524       98361       70572       6557        -           -           5.869605002287631538     -           
D8           23257       54379       68545       40316       22366       7711        98361       35184       6198        -           -           8.773636656986124556     -           
D4           45407       53109       91965       61707       46013       37628       98361       1747        12807       -           -           4.146872803935347856     -           
D0           51039       18012       33027       79998       2436        5679        98361       39776       22080       -           -           0.815760869565217391     -           
D5           15451       16923       98195       27702       60225       33006       98361       71130       3200        -           -           5.2884375                -           
D6           78487       11092       67395       83606       69905       30123       98361       65683       1702        -           -           6.517038777908343125     -           
D1           40799       20087       20712       69010       32864       31330       98361       9957        12588       -           -           1.595726088338099777     -           
D18          93856       14080       79776       95167       95750       96284       98361       23431       775         -           -           18.16774193548387096     -           
D0           47165       4652        42513       72351       85982       82423       98361       38825       21979       -           -           0.211656581282132945     -           
D5           33842       15152       18690       44270       72797       95103       98361       47166       2558        -           -           5.923377638780297107     -           
D1           58901       21448       37453       81120       79889       21302       98361       81847       14463       -           -           1.482956509714443753     -           
D25          62836       63182       99321       93020       93833       9756        98361       64361       2468        -           -           25.60048622366288492     -           
D2           47095       64345       82417       72582       35980       33337       65597       98076       21608       -           -           2.977832284339133654     -           
D0           25847       5820        20027       45306       29663       47982       65597       69797       6388        -           -           0.911083281152160300     -           
D10          57557       57856       99368       83466       55425       76385       65597       14894       5739        -           -           10.08119881512458616     -           
D2           78098       182         77916       79016       95705       72177       65597       9861        68          -           -           2.676470588235294117     -           
D174         87315       91477       95505       88893       42695       7883        65597       7750        525         -           -           174.2419047619047619     -           
D1           53428       44236       9192        81244       66176       34816       65597       39900       25612       -           -           1.727159144151179134     -           
D10          57483       64663       92487       83136       47865       56310       65597       7739        6177        -           -           10.46835033187631536     -           
D1           68616       14264       54352       97001       33378       38185       65597       8415        11846       -           -           1.204119534019922336     -           
D6           61399       65300       95766       87314       32679       88867       65597       97101       9569        -           -           6.824119552722332532     -           
D14          46094       87704       58057       59476       48467       71689       65597       41874       5948        -           -           14.74512441156691324     -           
D11          19581       39556       79692       23578       94751       1090        65597       39729       3593        -           -           11.00918452546618424     -           
D2           26934       35005       91596       41936       81322       15688       65597       72093       11932       -           -           2.933707676835400603     -           
D0           26329       7654        18675       42830       65727       49010       65597       39708       9828        -           -           0.778795278795278795     -           
D88          27899       93539       34027       29177       51961       36976       65597       31572       1061        -           -           88.16116870876531574     -           
D27          9121        78523       30265       15393       26446       84182       65597       15579       2849        -           -           27.56160056160056160     -           
D426         51495       95159       56003       51988       6841        24877       65597       12689       223         -           -           426.7219730941704035     -           
D18          59117       33038       26079       60967       28570       81630       65597       48059       1767        -           -           18.69722693831352575     -           
D2           30249       32009       97907       48647       94331       76142       65597       78648       11851       -           -           2.700953506033246139     -           
D34          67018       28455       38563       89080       63541       92657       65597       63605       832         -           -           34.20072115384615384     -           
D4           42837       15852       26985       52732       45426       30086       65597       48524       3257        -           -           4.867055572612833896     -           
D4           67547       27792       39755       98091       17806       70818       65597       78197       6459        -           -           4.302833255921969345     -           
D1           59635       1403        58232       62075       39689       57164       98365       889         1075        -           -           1.305116279069767441     -           
D0           37038       3926        33112       66732       33922       50285       98365       76121       7344        -           -           0.534586056644880174     -           
D3           35485       53307       81845       55157       71619       9404        98365       85995       15813       -           -           3.371087080250426864     -           
D7           31808       30978       830         45503       22996       11405       98365       67622       4418        -           -           7.011770031688546853     -           
D0           37306       5958        31348       52965       31774       94584       98365       36399       5988        -           -           0.994989979959919839     -           
D0           35781       9888        25893       61239       58521       59182       98365       6724        10323       -           -           0.957861086893344957     -           
D4           72745       90964       81448       99124       46802       34965       98365       13614       19987       -           -           4.551158252864361835     -           
D9           63510       26041       37469       83720       91523       12032       98365       84819       2880        -           -           9.042013888888888888     -           
D4           72279       26926       45353       83221       4189        90955       98365       42262       6627        -           -           4.063075298023238267     -           
D29          49819       98534       50952       65313       89503       70037       98365       2481        3337        -           -           29.52771950854060533     -           
D5           49124       54646       94145       88333       51627       50369       98365       51156       9915        -           -           5.511447302067574382     -           
D3           57600       51641       5959        79787       96765       62376       98365       83267       13226       -           -           3.904506275517919250     -           
D17          37465       86715       50417       69987       1780        63815       98365       13207       4943        -           -           17.54299008699170544     -           
D1           55379       14055       41324       98808       1797        27010       98365       21472       11950       -           -           1.176150627615062761     -           
D297         14218       87849       26036       15289       55975       30017       98365       87299       295         -           -           297.7932203389830508     -           
D38          74902       58772       16130       93247       8357        91950       98365       31027       1522        -           -           38.61498028909329829     -           
D5           44754       32021       12733       57580       49505       81136       98365       76056       6276        -           -           5.102135117909496494     -           
D9           31697       91301       40063       53378       47011       79750       98365       41653       10016       -           -           9.115515175718849840     -           
D20          51768       91687       59748       67550       68250       36290       98365       34960       4422        -           -           20.73428312980551786     -           
D701         68510       49125       19385       82198       24167       123         98365       51978       70          -           -           701.7857142857142857     -           
D2           58728       65935       92460       92507       69938       47549       98365       71393       24949       -           -           2.642791294240250110     -           
D1           61875       2846        59029       70505       89901       28558       98365       77235       1465        -           -           1.942662116040955631     -           
D0           49132       4085        45047       75623       49996       88479       98365       58292       22641       -           -           0.180424892893423435     -           
