Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        
C            55535       5377        50158       283         93511       36347       43333       92591       283         19          -           -                        
C            74006       16236       57770       79560       3808        60533       59097       42614       1804        9           -           -                        
C            44779       86299       58147       29989       32591       75992       88084       61379       409         211         -           -                        
C            32369       82122       49914       31417       29152       65852       43660       28947       1           82122       -           -                        
C            80127       11704       68423       82412       2231        74642       39417       62057       152         77          -           -                        
C            41602       59260       82009       27736       21112       58880       77152       1268        4           14815       -           -                        
C            81831       64200       17631       2675        89824       62384       74539       2211        2675        24          -           -                        
C            37522       61320       75869       37483       1859        94165       74539       70588       4           15330       -           -                        
C            64125       60433       3692        64123       68754       61327       46099       76661       1           60433       -           -                        
C            44473       84790       59350       44507       41244       99598       1747        31383       1           84790       -           -                        
C            12981       6180        6801        25756       45076       54526       6741        78821       206         30          -           -                        
C            2           27430       72239       97311       88548       57287       29917       31460       2           13715       -           -                        
C            94668       61876       32792       94660       24637       49985       33860       22313       4           15469       -           -                        
C            33232       33148       84          34084       6052        26948       42930       78527       4           8287        -           -                        
C            44276       4230        40046       44286       77420       52244       18549       70251       6           705         -           -                        
C            51146       85118       65695       66905       53798       34999       18549       50804       3869        22          -           -                        
C            86543       30220       56323       86546       3068        60777       78584       4298        2           15110       -           -                        
C            88457       39780       48677       73717       72943       53012       55555       31192       17          2340        -           -                        
C            61749       94237       67179       49531       42695       90522       55555       31059       659         143         -           -                        
C            47958       40926       7032        57          54437       37639       44441       15045       57          718         -           -                        
C            89067       61824       27243       79208       3478        6843        66080       72977       336         184         -           -                        
C            19535       7620        11915       15634       43671       69170       94895       70918       30          254         -           -                        
C            79968       68808       11160       84164       81893       97509       44413       50710       244         282         -           -                        
C            55274       26125       29149       55781       16406       31709       87546       60272       11          2375        -           -                        
C            66688       19580       47108       65924       77302       44191       2368        40931       220         89          -           -                        
C            48323       9215        39108       72475       41914       25809       91695       49653       19          485         -           -                        
C            37028       72912       63783       55536       37485       61054       51678       41823       12          6076        -           -                        
C            9381        1977        7404        4691        85277       75446       70355       48836       1           1977        -           -                        
C            4267        7182        96752       5318        75265       37331       30470       77366       63          114         -           -                        
C            51084       50544       540         50440       16585       99009       21578       27905       208         243         -           -                        
C            58892       50370       8522        58918       92340       74698       94808       40638       2           25185       -           -                        
C            47275       76125       70817       47065       7399        90756       66684       12174       25          3045        -           -                        
C            64257       83102       80822       67637       96021       15973       71668       70012       37          2246        -           -                        
C            39537       36369       3168        38339       9919        38478       37230       89502       3           12123       -           -                        
C            31007       38929       91745       46510       95680       78907       15283       15389       1           38929       -           -                        
C            98543       75681       22862       97785       568         33336       93703       22067       3           25227       -           -                        
C            85104       14308       70796       84364       60900       24563       83169       21400       4           3577        -           -                        
C            56923       77832       78758       68082       12005       66954       26999       75506       1128        69          -           -                        
C            81664       46676       34988       3334        1833        34366       30445       82456       3334        14          -           -                        
C            35386       5040        30346       84          4795        3492        6884        10186       84          60          -           -                        
C            92956       47096       45860       93220       73112       93283       6884        42740       28          1682        -           -                        
C            12496       27820       84343       6261        19816       29660       6884        39494       26          1070        -           -                        
C            60211       3127        57084       66232       30746       18447       78147       81031       1           3127        -           -                        
C            88798       25612       63186       76          86731       64010       7303        43298       76          337         -           -                        
C            6833        56680       49820       1417        54296       77869       27568       25083       1417        40          -           -                        
A            45227       17791       27436       72663       42106       93744       98237       59785       17791       1           -           -                        
C            74632       84624       89675       69989       61227       89727       98237       55048       344         246         -           -                        
C            67260       31700       35560       63305       88318       4886        26820       23331       25          1268        -           -                        
C            75963       30171       45792       75944       80285       94346       81201       22938       1           30171       -           -                        
C            17691       88580       28778       1           56167       36666       17621       25751       1           88580       -           -                        
C            62483       11341       51142       67604       19953       84810       91313       38208       1031        11          -           -                        
C            99209       95667       3542        99121       49306       37695       3490        23153       33          2899        -           -                        
C            25519       51118       74068       27020       27098       75805       61535       62668       2           25559       -           -                        
C            67814       13754       54060       72656       7294        39281       41418       33206       26          529         -           -                        
C            10505       55697       54475       10707       66991       85822       39962       2960        1           55697       -           -                        
C            50081       37917       12164       12639       40763       10201       8928        30603       12639       3           -           -                        
C            6           1080        98593       58198       84824       27916       11533       50891       6           180         -           -                        
C            71221       95314       75574       71218       40739       35757       27852       43875       1           95314       -           -                        
C            5744        46948       58463       5942        39458       13736       60711       71661       2           23474       -           -                        
C            87454       23898       63556       87331       80795       86866       67282       55969       1           23898       -           -                        
C            96082       63114       32968       94002       27773       49548       96943       62893       402         157         -           -                        
C            16          40832       58851       92332       79502       73620       46709       68334       16          2552        -           -                        
C            103         19570       80200       82693       47472       76778       49776       4993        103         190         -           -                        
C            35962       69030       66599       35788       17480       12067       59543       67684       118         585         -           -                        
C            57235       74373       82529       60601       36768       68520       37043       71719       13          5721        -           -                        
C            87326       20400       66926       87333       66443       87134       31647       87427       1           20400       -           -                        
C            37945       82399       55213       28459       11642       35385       31647       36143       1           82399       -           -                        
C            28441       83040       45068       28382       13142       65739       22399       53700       3           27680       -           -                        
C            88501       50730       37771       8455        54791       45940       44862       76306       8455        6           -           -                        
C            93220       94208       98679       91829       38640       41667       46214       16139       23          4096        -           -                        
C            74320       56140       18180       74403       71178       71418       97848       68375       35          1604        -           -                        
C            50970       63450       87187       54710       69038       76757       18619       665         2350        27          -           -                        
C            79485       19459       60026       79693       13992       87485       38462       1020        29          671         -           -                        
C            94243       86388       7855        93623       96265       70255       64925       94544       3           28796       -           -                        
C            20751       14276       6475        22334       19516       80129       21422       28906       172         83          -           -                        
C            51085       46439       4646        51217       86478       42866       85710       7712        1           46439       -           -                        
C            45031       46899       97799       43481       80103       61472       91247       4282        81          579         -           -                        
C            4866        15162       89371       3           15280       74822       18241       13790       3           5054        -           -                        
C            20184       79296       40555       20345       92557       61886       89147       27576       59          1344        -           -                        
C            47810       70638       76839       47736       94304       68511       31900       1901        6           11773       -           -                        
C            64177       95632       68212       64205       94992       51472       45791       56390       1           95632       -           -                        
C            2317        16345       85639       2154        45210       63861       86962       49415       35          467         -           -                        
C            87381       14846       72535       87314       24978       87668       77048       21803       13          1142        -           -                        
C            94231       66114       28117       94229       67115       27746       5963        35386       1           66114       -           -                        
C            96717       77028       19689       96427       21511       2525        73668       59940       147         524         -           -                        
C            53572       30504       23068       56123       66423       84810       82532       61459       1           30504       -           -                        
C            60254       70488       89433       60383       77984       48785       25755       24979       11          6408        -           -                        
C            90984       98496       92155       89468       90715       51783       24455       14418       24          4104        -           -                        
C            85300       76120       9180        85430       9657        67145       26123       34768       20          3806        -           -                        
C            18564       65279       52952       18227       14815       64477       82130       68409       29          2251        -           -                        
C            85201       13566       71635       78821       73479       79946       59426       46971       2261        6           -           -                        
C            2952        75998       26621       3217        74841       82954       93653       30765       37          2054        -           -                        
C            35075       70150       64592       96992       86974       52845       39485       35596       35075       2           -           -                        
C            1183        81396       19454       1771        44072       55105       39485       87068       7           11628       -           -                        
C            69574       8070        61504       69563       83370       70332       23530       97049       10          807         -           -                        
C            45067       78510       66224       45075       96954       32422       99274       16870       3           26170       -           -                        
C            98120       27016       71104       99542       42338       50874       31139       29469       2           13508       -           -                        
C            33683       77555       55795       35214       41329       61452       31139       44454       1           77555       -           -                        
C            57185       63434       93418       53102       78681       69279       89403       57244       23          2758        -           -                        
C            88491       15515       72976       87905       64366       28039       39873       27914       5           3103        -           -                        
C            84959       65340       19619       84166       36235       10460       63080       44176       108         605         -           -                        
C            2742        43056       59353       5392        31856       93560       63080       98517       92          468         -           -                        
C            74683       26640       48043       74817       5665        28585       1614        12672       45          592         -           -                        
C            27494       19596       7898        36658       16764       92190       52965       5780        2           9798        -           -                        
C            32615       24968       7647        32617       33022       83584       52965       25414       1           24968       -           -                        
C            91636       98890       92413       73311       53441       30397       8876        64400       11          8990        -           -                        
C            75087       57720       17367       81913       48917       62821       71433       84760       1           57720       -           -                        
C            31278       37179       93766       21005       84393       10811       67687       68663       459         81          -           -                        
C            46262       36613       9649        31101       75625       22994       61040       83900       779         47          -           -                        
C            41809       12535       29274       52261       2615        19153       66742       27256       1           12535       -           -                        
C            50301       19460       30841       99212       86132       31406       11329       90461       1390        14          -           -                        
C            88322       2055        86267       90709       74205       34564       11329       87599       3           685         -           -                        
C            2789        14390       88066       3021        19005       47812       22571       5481        5           2878        -           -                        
C            26502       5724        20778       26472       18482       15144       56801       8154        12          477         -           -                        
C            96055       87928       8127        82387       83449       39713       44990       18898       379         232         -           -                        
C            25721       63687       61701       19308       67017       2820        71722       73599       69          923         -           -                        
C            34226       14768       19458       17115       47245       75249       69805       91537       4           3692        -           -                        
