Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        x_recovered 
D29          16300       45413       70554       31077       24963       25454       37950       38155       1523        -           -           29.81812212738017071     -           
D18          72959       85756       86870       82728       97026       88050       37950       85143       4576        -           -           18.74038461538461538     -           
D0           80973       612         80361       97656       46343       11108       37950       42959       14241       -           -           0.042974510216979144     -           
D135         8460        22966       85161       16750       72600       88616       37950       72900       170         -           -           135.0941176470588235     -           
D26          10337       64492       45512       14274       40052       86613       37950       88391       2463        -           -           26.18432805521721477     -           
D1           59082       51556       7526        90151       42208       48067       37950       82865       28013       -           -           1.840431228358262235     -           
D8           60722       70261       90128       78345       57394       74202       37950       59153       7853        -           -           8.947026614032853686     -           
D20          30875       92499       38043       57305       67717       70389       37950       33678       4445        -           -           20.80967379077615298     -           
D28          64932       34207       30725       74039       78489       19560       37950       89053       1183        -           -           28.91546914623837700     -           
D11          48061       12571       35490       49680       57090       18803       37950       76862       1110        -           -           11.32522522522522522     -           
D0           67940       11870       56070       92588       64561       68753       37950       19271       18644       -           -           0.636665951512550954     -           
D80          91406       58252       33154       97883       7300        88089       37950       87988       728         -           -           80.01648351648351648     -           
D11          36821       37530       98958       70295       32739       20819       37950       35665       3347        -           -           11.21302659097699432     -           
D8           76892       26644       50248       91662       69485       55890       37950       5527        3042        -           -           8.758711374095989480     -           
D6           59202       56908       2294        84666       62745       79673       37950       12718       8274        -           -           6.877930867778583514     -           
D1           44089       37756       6333        67176       10457       98625       37950       76672       21002       -           -           1.797733549185791829     -           
D49          93814       33771       60043       96475       68676       83645       37950       82396       679         -           -           49.73637702503681885     -           
D1123        31870       96628       34909       35843       52234       34642       37950       95929       86          -           -           1123.581395348837209     -           
D8           52444       49867       2577        75852       19669       37861       37950       72413       5628        -           -           8.860518834399431414     -           
D40          30302       43653       86316       59527       72069       54100       37950       56773       1077        -           -           40.53203342618384401     -           
D8127        95483       89407       6076        95585       93477       98927       37950       54102       11          -           -           8127.909090909090909     -           
D9           47575       91307       55935       85815       15282       2060        37950       64618       9335        -           -           9.781146223888591323     -           
D2           76764       13973       62791       94521       44039       94181       37950       25626       5736        -           -           2.436018131101813110     -           
D8           69424       94284       74807       88638       23602       95904       37950       3965        11782       -           -           8.002376506535392972     -           
D5           16809       14022       2787        21623       33911       49286       37950       39096       2367        -           -           5.923954372623574144     -           
D6           66918       36963       29955       97435       90346       86034       37950       16388       5884        -           -           6.281951053704962610     -           
D22          62585       45882       16703       65949       78000       96030       37950       23453       2033        -           -           22.56861780619773733     -           
D8           56631       14718       41913       70376       4419        68919       37950       77477       1651        -           -           8.914597213809812235     -           
D0           57249       7799        49450       88001       38451       40472       37950       45921       26497       -           -           0.294335207759368985     -           
D10          55623       88219       67071       71335       67458       29741       37950       62674       8487        -           -           10.39460351125250382     -           
D16          21215       23099       97783       27827       32470       51320       37950       68460       1379        -           -           16.75054387237128353     -           
D30          34688       99436       34919       66111       37159       97920       36387       37124       3265        -           -           30.45513016845329249     -           
D8           65015       44548       20467       79890       63066       45857       36387       67441       5515        -           -           8.077606527651858567     -           
D25          18786       28260       90193       36464       78309       35137       36387       81821       1108        -           -           25.50541516245487364     -           
D1           63555       57683       5872        97368       67685       56702       36387       59536       29742       -           -           1.939445901418868939     -           
D0           26506       207         26299       34027       69473       3818        36387       8579        3943        -           -           0.052498097895003804     -           
D5           55294       96207       58754       92261       63498       16531       36387       41717       18327       -           -           5.249467998035685054     -           
D2           54001       61912       91756       84396       94486       74027       36387       23034       23606       -           -           2.622723036516139964     -           
D17          32527       61413       70781       61462       40628       66281       36387       80448       3592        -           -           17.09716035634743875     -           
D2           78228       17266       60962       88233       78242       6155        36387       75467       8193        -           -           2.107408763578664713     -           
D46          83541       45962       37579       95333       32830       29818       36387       79735       997         -           -           46.10030090270812437     -           
D10          38992       7337        31655       39999       98502       78416       36387       19756       726         -           -           10.10606060606060606     -           
D0           50175       12628       37547       76039       40236       17537       36387       59856       24311       -           -           0.519435646415202994     -           
D8           49363       93043       55987       88181       12876       96895       36387       45328       10545       -           -           8.823423423423423423     -           
D4           30207       28042       2165        54627       42544       56823       36387       59903       5787        -           -           4.845688612407119405     -           
D122         45804       65844       79627       68437       47001       27017       36387       35410       538         -           -           122.3866171003717472     -           
D3           56252       82394       73525       89689       15967       64380       36387       90952       22815       -           -           3.611396011396011396     -           
D114         41295       33473       7822        43453       83348       96177       36387       19957       293         -           -           114.2423208191126279     -           
D4           67467       71949       95185       93768       74811       72910       36387       11028       14865       -           -           4.840161453077699293     -           
C            87174       24948       62226       95883       64023       77499       51020       62712       84          297         -           -                        -           
C            47075       81345       65397       70395       95147       32288       97275       24568       435         187         -           -                        -           
C            92153       43650       48503       93457       18229       7512        10619       68532       873         50          -           -                        -           
C            16686       28134       88219       17190       48168       79071       59781       9498        54          521         -           -                        -           
C            31838       43260       88245       32246       68188       83411       33636       97405       14          3090        -           -                        -           
C            94601       77605       16996       95151       94992       40017       29959       79717       1           77605       -           -                        -           
C            42353       86828       55192       84263       79594       53228       29959       42786       443         196         -           -                        -           
C            78410       53128       25282       80588       3518        40309       23452       56053       2           26564       -           -                        -           
C            22550       46164       76053       33824       45938       98136       67123       67840       2           23082       -           -                        -           
C            57907       6104        51803       58245       27842       39977       47866       83136       109         56          -           -                        -           
C            58941       35742       23199       59458       50568       74034       7609        72102       3           11914       -           -                        -           
C            50859       69450       81076       50911       51633       64996       9579        94167       3           23150       -           -                        -           
C            93095       31404       61691       93126       11317       37314       92226       51285       2           15702       -           -                        -           
C            5127        96236       8558        10205       88499       7558        76120       52288       49          1964        -           -                        -           
C            36984       87612       49039       37995       51793       47297       9985        2359        588         149         -           -                        -           
C            6008        2704        3304        6992        31810       78656       58765       41822       104         26          -           -                        -           
C            96999       29953       67046       97007       75642       61999       58765       21297       7           4279        -           -                        -           
C            20660       1658        19002       41319       31361       10098       58765       32448       1           1658        -           -                        -           
C            28168       66272       61563       28201       37561       21868       64050       61886       19          3488        -           -                        -           
C            28658       61350       66975       28905       44910       67677       64050       83956       6           10225       -           -                        -           
C            80600       76460       4140        81197       85132       89657       481         74085       5           15292       -           -                        -           
C            19174       1276        17898       38319       36685       43234       36711       89267       29          44          -           -                        -           
C            46471       52117       94021       51937       56521       17728       70735       85129       2743        19          -           -                        -           
C            56665       48266       8399        56667       13010       85338       70735       93634       1           48266       -           -                        -           
C            90266       46740       43526       90704       30484       24001       50651       90854       38          1230        -           -                        -           
C            55981       98888       56760       55984       71115       41384       63428       32167       1           98888       -           -                        -           
C            21734       22872       98529       25355       83151       31336       10741       60634       8           2859        -           -                        -           
C            25160       62910       61917       25547       38925       54050       12313       27194       5           12582       -           -                        -           
C            83091       74371       8720        83711       67730       22423       12313       12387       11          6761        -           -                        -           
C            29137       92436       36368       31378       27034       61046       77958       36620       4           23109       -           -                        -           
C            9186        61062       47791       9726        26956       68661       77110       81589       6           10177       -           -                        -           
C            67911       17523       50388       68265       84932       75143       77110       19709       297         59          -           -                        -           
C            6761        12225       94203       6781        55000       48306       77110       69450       1           12225       -           -                        -           
C            1377        68336       32708       1382        75583       6315        77110       30422       2           34168       -           -                        -           
C            9455        82409       26713       15327       56080       12759       76464       1162        3583        23          -           -                        -           
C            96501       20349       76152       96506       75749       11897       38674       57700       1           20349       -           -                        -           
C            83944       83692       252         85034       75247       28411       38674       43406       14          5978        -           -                        -           
C            7981        93795       13853       11694       43291       47977       19775       82667       555         169         -           -                        -           
C            20068       67496       52239       21010       4389        36974       19775       30490       286         236         -           -                        -           
C            27025       25503       1522        27073       38736       77203       15949       74666       1           25503       -           -                        -           
C            44387       37134       7253        44552       39412       53461       15949       33316       2           18567       -           -                        -           
C            44552       85631       58588       44847       46600       87817       87020       45145       7           12233       -           -                        -           
C            68809       57364       11445       70273       70168       29223       23084       61618       1           57364       -           -                        -           
C            72731       45045       27686       72751       95156       93818       89262       85583       11          4095        -           -                        -           
C            42442       50740       91369       49444       74580       64398       19221       4678        430         118         -           -                        -           
C            72825       76416       96076       74214       737         7809        73964       44325       597         128         -           -                        -           
C            87698       10868       76830       91060       35743       28294       42358       44579       286         38          -           -                        -           
C            73419       8575        64844       80093       79010       50990       53887       60455       5           1715        -           -                        -           
C            87097       6246        80851       87101       65164       7014        40138       81555       1           6246        -           -                        -           
C            97278       34944       62334       98648       20150       82637       77327       73048       8           4368        -           -                        -           
C            46340       41720       4620        87465       35269       4182        77327       24369       5215        8           -           -                        -           
C            55347       39882       15465       57653       2538        9958        37825       66696       3           13294       -           -                        -           
C            34662       31108       3554        51991       16803       60712       86587       39215       4           7777        -           -                        -           
C            43351       68227       74791       43453       35499       93601       10110       37489       1           68227       -           -                        -           
C            42399       16146       26253       63598       22098       31809       18245       48630       1           16146       -           -                        -           
C            61861       98736       62792       63625       50458       21328       18245       40775       121         816         -           -                        -           
C            73727       52045       21682       88471       65434       45637       18245       78479       7           7435        -           -                        -           
C            2396        81006       21057       2510        60214       51646       57598       94034       2           40503       -           -                        -           
C            79274       16244       63030       83678       63137       65271       40063       3852        2           8122        -           -                        -           
C            81524       69874       11650       82151       58039       93701       40063       85525       14          4991        -           -                        -           
C            64488       53550       10938       96375       54669       38615       15732       66442       714         75          -           -                        -           
C            51665       98880       52452       51728       57286       85645       15732       35654       5           19776       -           -                        -           
C            85996       62842       23154       86017       61118       35491       97338       72200       1           62842       -           -                        -           
C            16884       63536       53015       17207       582         62878       37313       33674       88          722         -           -                        -           
C            15217       17507       97377       17385       65236       35526       2495        91379       41          427         -           -                        -           
C            59282       62568       96381       60487       86950       6751        94612       75821       237         264         -           -                        -           
C            52402       89160       62909       52414       43370       76660       39050       73632       10          8916        -           -                        -           
C            34382       90134       43915       63462       2822        63524       52052       43261       5302        17          -           -                        -           
C            38330       98144       39853       76644       14383       47119       96712       25840       16          6134        -           -                        -           
C            61270       77840       83097       61525       24681       75097       69035       14678       70          1112        -           -                        -           
C            63482       87150       75999       84631       63272       93347       88897       78948       35          2490        -           -                        -           
C            17975       13075       4900        23965       15473       73755       74693       73677       5           2615        -           -                        -           
C            75221       45487       29734       75277       72279       68219       74693       2593        13          3499        -           -                        -           
C            66784       82384       84067       66805       95649       84296       44132       76925       4           20596       -           -                        -           
C            7965        32294       75338       7969        20          65182       44132       91315       1           32294       -           -                        -           
C            64069       98766       64970       65799       64193       29052       61613       59476       59          1674        -           -                        -           
C            38852       2450        36402       77634       94512       83160       28332       67282       70          35          -           -                        -           
C            53337       72510       80494       53455       87581       62908       785         73866       1           72510       -           -                        -           
C            95367       12192       83175       97236       43141       35809       56488       69188       48          254         -           -                        -           
C            66653       62350       4303        79975       81745       60829       79757       65151       43          1450        -           -                        -           
C            76278       75984       294         87168       66645       76056       61264       46979       48          1583        -           -                        -           
C            56825       87780       68712       56828       73886       12562       20054       87053       2           43890       -           -                        -           
C            74161       36968       37193       79956       3261        29457       49937       98792       4621        8           -           -                        -           
C            13527       608         12919       27050       87017       32301       49937       86856       4           152         -           -                        -           
C            33565       73136       60096       33776       69560       51284       72087       17470       16          4571        -           -                        -           
C            28623       11820       16803       42836       26970       57178       42647       64080       197         60          -           -                        -           
C            98124       39336       58788       98478       67792       43175       42647       67641       66          596         -           -                        -           
C            893         26061       74499       1783        30499       24849       8387        3272        3           8687        -           -                        -           
C            28349       37134       90882       54635       60171       51056       10630       67835       2063        18          -           -                        -           
C            96142       88116       8026        97187       67473       29720       10630       78947       2           44058       -           -                        -           
C            22416       23580       98503       29886       31249       95847       10744       11773       6           3930        -           -                        -           
C            65260       15456       49804       97848       30122       87891       79949       15790       84          184         -           -                        -           
C            40146       11616       28530       45812       88548       80884       94977       85593       484         24          -           -                        -           
C            400         58499       41568       403         40159       16442       24605       76059       1           58499       -           -                        -           
C            42650       83740       58577       47330       27295       21089       98583       64835       530         158         -           -                        -           
C            80823       43932       36891       80902       59153       10778       60141       95164       6           7322        -           -                        -           
E1           51858       12964       38894       -           71297       81811       93509       92823       -           -           -           -                        39858, 93509
C            51551       26825       24726       68493       40755       78334       93509       55306       725         37          -           -                        -           
C            49438       54252       94853       50615       73009       3763        25864       15409       4           13563       -           -                        -           
C            46129       86372       59424       69122       81796       7553        25864       1395        143         604         -           -                        -           
C            69112       59600       9512        69124       84273       89420       25864       10653       4           14900       -           -                        -           
E1           66038       16509       49529       -           71334       14782       42965       9754        -           -           -           -                        24868, 42965
C            61914       1580        60334       61918       33520       97308       48190       78913       2           790         -           -                        -           
C            7775        31200       76242       7821        55212       54778       62070       15099       1           31200       -           -                        -           
C            37577       47040       90204       40688       81557       32545       62070       58829       245         192         -           -                        -           
C            6085        80454       25298       10652       42844       59311       5930        12159       1518        53          -           -                        -           
C            49458       54024       95101       49502       81719       66068       53426       13280       2           27012       -           -                        -           
C            11761       66152       45276       11873       29068       97353       53426       62145       1           66152       -           -                        -           
C            84762       49518       35244       84828       46401       64189       2023        25944       18          2751        -           -                        -           
C            44213       59345       84535       55265       17722       75043       2023        10222       5           11869       -           -                        -           
C            13640       65585       47722       15155       68814       21614       2023        52960       5           13117       -           -                        -           
C            75987       36848       39139       77753       37111       83241       3055        78113       49          752         -           -                        -           
C            18691       32550       85808       34127       14047       49357       86539       33350       3255        10          -           -                        -           
C            59564       88288       70943       89338       2837        72507       10213       58138       16          5518        -           -                        -           
C            96289       89544       6745        99298       27911       55388       68415       47446       1           89544       -           -                        -           
C            16826       26268       90225       16921       50672       55886       68415       34264       11          2388        -           -                        -           
C            65746       56334       9412        67259       36467       88906       16316       89261       687         82          -           -                        -           
C            21136       12980       8156        21322       73229       54594       41173       76482       118         110         -           -                        -           
C            52290       53305       98652       96965       62285       85563       41173       55671       7615        7           -           -                        -           
C            51844       89167       62344       52195       95470       66266       37544       38188       247         361         -           -                        -           
C            2909        22417       80159       2973        63770       34542       23995       2687        29          773         -           -                        -           
C            93643       4333        89310       94867       36564       26593       23995       88265       619         7           -           -                        -           
C            5267        38980       65954       5312        71868       20841       55647       79459       2           19490       -           -                        -           
C            68039       14384       53655       89520       94081       91729       26366       83535       3596        4           -           -                        -           
C            11520       97512       13675       12039       82198       47428       82662       55074       102         956         -           -                        -           
C            24261       84582       39346       24800       23279       51819       76808       75562       6           14097       -           -                        -           
C            60225       47041       13184       60229       45140       88304       82305       79834       1           47041       -           -                        -           
C            70372       46258       24114       70379       62434       25653       2079        1728        1           46258       -           -                        -           
C            90182       98452       91397       92990       33192       49506       28317       40564       326         302         -           -                        -           
C            79796       19980       59816       80586       13591       78553       22493       40892       6           3330        -           -                        -           
C            39142       1720        37422       78276       36819       58732       22493       81563       8           215         -           -                        -           
C            94073       64124       29949       95118       63977       38937       22493       54459       23          2788        -           -                        -           
C            82662       27396       55266       82830       69695       81049       65044       18887       6           4566        -           -                        -           
C            36739       22288       14451       73477       80681       77421       65236       29648       1           22288       -           -                        -           
C            18295       9810        8485        20675       28923       83968       69101       29887       1635        6           -           -                        -           
C            10261       99192       10736       10351       73411       92701       97410       68597       1           99192       -           -                        -           
C            57878       33384       24494       61278       25088       65687       68225       88513       78          428         -           -                        -           
C            16678       51715       64630       17005       92613       18860       38129       68844       1           51715       -           -                        -           
C            77987       38122       39865       82089       21894       56611       60101       22763       49          778         -           -                        -           
C            80681       81862       98486       84715       38060       5017        7762        92583       1           81862       -           -                        -           
C            12043       84683       27027       12489       42702       67731       86337       5788        1           84683       -           -                        -           
C            42418       494         41924       63608       1647        71627       86337       49622       38          13          -           -                        -           
C            45264       47920       97011       67297       46348       81633       43618       43293       1198        40          -           -                        -           
C            2224        37556       64335       3532        37097       59026       43618       70147       916         41          -           -                        -           
C            35106       77238       57535       70198       31865       92713       88533       1069        14          5517        -           -                        -           
C            50843       87312       63198       55428       9698        82695       1688        37027       408         214         -           -                        -           
C            88159       19110       69049       88248       74772       93414       62789       11189       49          390         -           -                        -           
C            97210       18165       79045       97273       77098       82908       51794       73832       1           18165       -           -                        -           
C            67794       37490       30304       97942       51419       35830       54964       51853       7498        5           -           -                        -           
C            57989       50554       7435        67052       4744        62285       52003       72660       3611        14          -           -                        -           
C            81563       10480       71083       81589       47823       88175       66827       64440       1           10480       -           -                        -           
C            70245       85380       84532       87805       78227       46924       61946       65356       5           17076       -           -                        -           
C            31372       68913       62126       32365       27676       13819       25287       74335       589         117         -           -                        -           
C            13630       60348       52949       14868       45897       70091       24531       6327        12          5029        -           -                        -           
C            34499       2295        32204       43090       70772       52876       62571       95683       135         17          -           -                        -           
C            46586       59573       86680       91719       33823       75539       72662       20287       1453        41          -           -                        -           
C            63026       6423        56603       68561       80731       16097       33136       78429       2141        3           -           -                        -           
C            70056       75891       93832       70123       81819       74294       66909       44541       41          1851        -           -                        -           
C            5675        47065       58277       5690        89725       85371       66909       83011       5           9413        -           -                        -           
C            80292       56834       23458       81439       20843       49419       45108       82943       2           28417       -           -                        -           
C            52668       92701       59634       55765       38306       75302       45108       63069       19          4879        -           -                        -           
C            58334       18072       40262       58338       96616       12035       82469       92017       2           9036        -           -                        -           
C            85407       51045       34362       99434       15680       24529       8756        83557       1245        41          -           -                        -           
C            47833       14993       32840       95665       46771       95405       81555       31856       1           14993       -           -                        -           
C            94553       29264       65289       95000       69313       92519       99036       16909       236         124         -           -                        -           
C            11952       62672       48947       11981       88558       81866       99036       25501       4           15668       -           -                        -           
C            59961       30571       29390       62045       74871       60768       99036       52047       1609        19          -           -                        -           
C            63029       75658       87038       72030       85545       38501       35397       21492       22          3439        -           -                        -           
C            94084       19351       74733       94095       40651       90865       39539       14005       1           19351       -           -                        -           
C            7743        39240       68170       12216       4671        54477       44891       13643       3270        12          -           -                        -           
C            15503       55965       59205       17998       1713        25960       35463       44717       533         105         -           -                        -           
C            46140       6816        39324       51243       23350       64758       94073       6198        213         32          -           -                        -           
C            9865        8106        1759        9877        80625       43259       35180       82122       1           8106        -           -                        -           
C            19442       91428       27681       19712       84035       71000       92592       79335       2           45714       -           -                        -           
C            86025       53325       32700       86307       1934        98011       46651       10489       15          3555        -           -                        -           
C            84053       86463       97257       87840       49114       27998       56983       99062       739         117         -           -                        -           
C            36797       53620       82844       73580       66630       49872       16506       92069       14          3830        -           -                        -           
C            53664       71520       81811       60368       96260       44477       1583        46697       32          2235        -           -                        -           
C            14029       74037       39659       27391       297         71235       8966        62667       667         111         -           -                        -           
C            86899       55627       31272       93106       66930       90960       8966        50838       1           55627       -           -                        -           
C            66226       49410       16816       68985       91925       70551       8966        43120       10          4941        -           -                        -           
C            63814       7595        56219       65449       30626       58759       34748       8276        49          155         -           -                        -           
C            54255       7920        46335       56340       87788       46544       34748       12593       45          176         -           -                        -           
C            37525       62535       74657       49907       3815        34472       23889       86229       379         165         -           -                        -           
C            7866        21578       85955       7870        24929       55561       23889       54646       2           10789       -           -                        -           
C            20181       56639       63209       35213       23567       52438       65332       52016       5149        11          -           -                        -           
C            88577       44625       43952       93491       77544       5902        64938       14063       125         357         -           -                        -           
C            56147       41678       14469       56763       55782       42341       64938       50029       91          458         -           -                        -           
C            20371       69252       50786       20401       77816       17692       38862       55972       1           69252       -           -                        -           
C            15953       75610       40010       31904       40708       38900       86656       34734       2           37805       -           -                        -           
C            83927       45542       38385       83942       1248        38241       16047       68877       2           22771       -           -                        -           
C            45285       9867        35418       45429       32367       10939       16047       56425       69          143         -           -                        -           
C            78721       47620       31101       78761       22407       71599       70496       50852       1           47620       -           -                        -           
C            67105       57190       9915        67318       90067       7821        38851       91044       10          5719        -           -                        -           
C            82066       55952       26114       82512       10591       89502       80942       46371       2           27976       -           -                        -           
C            73715       73788       99594       74624       21261       48133       83998       27202       86          858         -           -                        -           
C            14360       97200       16827       14448       20643       20583       83998       64634       16          6075        -           -                        -           
