Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

Using legacy P2PKH preimage for signing.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered                 hypothesis  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D10          74158       51511       22647       97220       12918       50682       63490       25781       4972        -           -           10.36021721641190667     -                           -           
D9           43299       95223       47743       76619       91390       90434       63490       32970       9979        -           -           9.542338911714600661     -                           -           
D22          52109       81714       70062       68246       61086       25245       63490       65268       3698        -           -           22.09680908599242834     -                           -           
D13          48504       70726       77445       62986       14164       80574       63490       3847        5058        -           -           13.98299723210755239     -                           -           
D0           65272       5686        59586       76845       64019       25046       63490       32348       7407        -           -           0.767652220872147968     -                           -           
D0           36767       9935        26832       56265       28577       38729       12290       48165       17269       -           -           0.575308356013666106     -                           -           
D4           60362       93064       66965       97908       88603       4207        12290       26728       22816       -           -           4.078892005610098176     -                           -           
D3           50003       78924       70746       79390       57258       30188       12290       11260       20616       -           -           3.828288707799767171     -                           -           
D14          14756       98807       15616       22876       35528       35067       71684       45143       6636        -           -           14.88954189270644966     -                           -           
D1           41278       21024       20254       64196       96060       91940       71684       62552       18360       -           -           1.145098039215686274     -                           -           
D4           62239       58232       4007        78424       70014       78728       71684       30285       13684       -           -           4.255480853551593101     -                           HYP-005     
D1           24530       1625        22905       47644       20684       24230       24582       92791       1416        -           -           1.147598870056497175     -                           -           
D78          96079       84914       11165       98238       23426       35385       24582       63524       1083        -           -           78.40627885503231763     -                           -           
D5           54886       56873       97680       77123       61724       93169       24582       96298       10412       -           -           5.462255090280445639     -                           -           
D12          50343       95975       54035       93127       58023       82981       73735       35019       7559        -           -           12.69678528905939939     -                           -           
D2           33744       597         33147       36535       34055       42935       73735       87738       252         -           -           2.369047619047619047     -                           -           
D7           40581       85031       55217       69292       42269       47792       2057        9047        11870       -           -           7.163521482729570345     -                           -           
D20          93385       60332       33053       97154       71976       43983       2057        9777        2929        -           -           20.59815636736087401     -                           -           
D1           56139       38895       17244       90469       66911       55335       2057        24733       21809       -           -           1.783438030171030308     -                           -           
D5           72333       15925       56408       77305       85335       44383       83982       72343       2725        -           -           5.844036697247706422     -                           -           
D31          54028       94485       59210       71053       38888       6709        28687       18171       2953        -           -           31.99627497460209956     -                           -           
D98          77649       75457       2192        93026       7433        77354       28687       65914       764         -           -           98.76570680628272251     -                           -           
D12          61737       95923       65481       69478       99535       61388       10266       9089        7550        -           -           12.70503311258278145     -                           -           
D10          37651       99355       37963       66147       75873       60445       10266       83222       9155        -           -           10.85253959584926269     -                           -           
D1           60942       20163       40779       81927       94261       51367       24603       13547       18972       -           -           1.062776723592662871     -                           -           
D4           37581       36189       1392        67118       66499       31808       26656       61200       8044        -           -           4.498881153654898060     -                           -           
D0           50302       15791       34511       79175       81358       96832       61474       45671       21429       -           -           0.736898595361426104     -                           -           
D8           21105       46907       73865       29006       65546       71169       61474       27859       5303        -           -           8.845370544974542711     -                           -           
D2           36724       9005        27719       69489       68168       32408       61474       5885        3959        -           -           2.274564283910078302     -                           -           
D8           48417       36093       12324       92510       55762       96169       61474       10984       4324        -           -           8.347132284921369102     -                           -           
D6           46091       57575       88183       82667       54229       3352        14371       42585       9515        -           -           6.050972149238045191     -                           -           
D3           49116       71273       77510       76658       42753       65479       14371       26580       21574       -           -           3.303652544729767312     -                           -           
D30          62485       43769       18716       68588       97870       35680       14371       75128       1455        -           -           30.08178694158075601     -                           -           
D61          61411       48074       13337       81622       10577       50449       69674       31091       778         -           -           61.79177377892030848     -                           -           
D417         58099       96539       61227       59663       71958       2620        69674       79492       231         -           -           417.9177489177489177     -                           -           
D1           41276       12113       29163       58627       62077       31500       43051       55836       6574        -           -           1.842561606327958624     -                           -           
D21          35229       65383       69513       67367       93191       82989       24621       78126       3091        -           -           21.15270139113555483     -                           -           
D22          21216       98220       22663       37993       34490       96290       24621       90336       4439        -           -           22.12660509123676503     -                           -           
D16          57673       78677       78663       75261       81075       29925       77869       27223       4909        -           -           16.02709309431656141     -                           -           
D271         31717       57279       74105       32251       67263       66660       77869       56460       211         -           -           271.4644549763033175     -                           -           
D2           85178       17866       67312       96096       18177       19284       57393       26660       8752        -           -           2.041361974405850091     -                           -           
D11          32391       17522       14869       35827       10642       39666       12338       21205       1467        -           -           11.94410361281526925     -                           -           
D17          45301       91283       53685       85486       86455       28403       16437       66566       5116        -           -           17.84265050820953870     -                           -           
D263         49673       51030       98310       66166       9029        70654       16437       89462       194         -           -           263.0412371134020618     -                           -           
D1           46059       4153        41906       53250       73543       88746       16437       8954        2913        -           -           1.425677995193958118     -                           -           
D7           47503       75657       71513       85496       20176       35848       16437       16745       9510        -           -           7.955520504731861198     -                           -           
D8           26155       24752       1403        33904       52740       32331       16437       98201       2908        -           -           8.511691884456671251     -                           -           
D10          52355       34696       17659       64654       5326        21495       16437       28563       3159        -           -           10.98322253877809433     -                           -           
D1           58966       22772       36194       99235       83950       71169       86071       71808       18697       -           -           1.217949403647644007     -                           -           
D41          57453       17520       39933       58124       3698        62220       86071       43289       418         -           -           41.91387559808612440     -                           -           
D1           30456       16673       13783       48625       49184       60155       86071       50460       12287       -           -           1.356962643444290713     -                           -           
D8           8704        12817       95554       10491       92145       28844       86071       90483       1556        -           -           8.237146529562982005     -                           -           
D6           70996       41041       29955       87194       36572       62034       90168       70282       6204        -           -           6.615248226950354609     -                           -           
D6           42062       81511       60218       71160       58700       88496       90168       56146       12964       -           -           6.287488429497068805     -                           -           
D16          31482       98791       32358       57124       9392        62871       90168       20587       5840        -           -           16.91626712328767123     -                           -           
D4           30394       49519       80542       50703       92359       2407        90168       30938       10085       -           -           4.910163609320773425     -                           -           
D45          80697       35408       45289       96681       93082       9112        71738       81938       777         -           -           45.57014157014157014     -                           -           
D0           54285       4381        49904       94598       59750       69987       71738       61063       13972       -           -           0.313555682794159748     -                           -           
D0           66836       685         66151       68710       30502       12053       8251        50853       1246        -           -           0.549759229534510433     -                           -           
D14          76276       36121       40155       85504       27112       26383       8251        18665       2452        -           -           14.73123980424143556     -                           -           
D3           58859       77675       80851       78568       44135       32850       8251        66055       19441       -           -           3.995422046191039555     -                           -           
D9           21333       56054       64946       36729       58912       43901       10301       71865       5937        -           -           9.441468755263601145     -                           -           
D2           18865       18726       139         28404       41814       51486       10301       44049       9326        -           -           2.007934805918936307     -                           -           
D0           28948       4605        24343       36706       76170       89935       10301       73661       5674        -           -           0.811596757137821642     -                           -           
D1           53531       20199       33332       91527       14061       27374       65598       94650       15535       -           -           1.300225297714837463     -                           -           
D1           45725       9415        36310       58135       49255       27379       65598       3774        8495        -           -           1.108298999411418481     -                           -           
D20          23195       82108       40754       42419       96535       50170       65598       3156        3971        -           -           20.67690757995467136     -                           -           
D95          44379       90084       53962       66098       40370       24137       41027       42486       941         -           -           95.73219978746014877     -                           -           
D37          2590        19329       82928       4658        14692       20935       41027       58864       522         -           -           37.02873563218390804     -                           -           
D23          74287       64007       10280       98127       67754       5378        41027       20982       2767        -           -           23.13227322009396458     -                           -           
D5           53311       26132       27179       63073       25947       24198       75845       21139       4501        -           -           5.805820928682514996     -                           -           
D6           47653       24194       23459       53954       77777       18993       75845       41350       3546        -           -           6.822899041173152848     -                           -           
