Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

Using legacy P2PKH preimage for signing.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered                 hypothesis  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D23          537941253   253427419   284513834   1065172417  752403498   1050175113  651134976   467202415   10710089    -           -           23.66249421456721788     -                           -           
D2           802527566   144550362   657977204   926418877   2760042     1199140512  651134976   355271088   59179700    -           -           2.442566657147636774     -                           HYP-005     
D25          1092597656  1069081462  23516194    1162626350  737417404   1101155914  447664130   239297679   42167246    -           -           25.35336222811420978     -                           -           
D31          504992719   793061357   953562105   744759940   1061026624  1236742689  321781774   1211881752  25458277    -           -           31.15141519593018804     -                           -           
D0           781753028   7881464     773871564   1080241512  762909587   63016517    209866769   328525665   184776060   -           -           0.042654140368617016     -                           -           
D3           476553168   485987002   1232196909  804467392   1082376620  207472142   209866769   217365264   148638944   -           -           3.269580561605712161     -                           -           
D11          918994681   313696542   605298139   963527473   785716263   281023041   209866769   542680344   28338841    -           -           11.06949088002575687     -                           -           
D23          1079201909  233702228   845499681   1176421142  102274355   630292002   209866769   217324193   9790346     -           -           23.87068117919427975     -                           -           
D8           817573180   584029907   233543273   1005204478  234911113   1020420767  1127839761  789430168   67047988    -           -           8.710625395649456326     -                           -           
D16          453172727   762382917   932420553   861201454   934406197   831024825   1127839761  946816600   45144000    -           -           16.88780163476874003     -                           -           
D12          826487406   146816862   679670544   894418459   200411143   920458937   303159315   1201770560  11314770    -           -           12.97568240450314058     -                           -           
D6           394349164   616855962   1019123945  689344514   1141026906  86230761    857047060   423981159   99353814    -           -           6.208679236007990594     -                           -           
D2           694854112   304270154   390583958   833865431   36560413    7898213     953929749   115387498   138808836   -           -           2.192008540436143416     -                           -           
D1269        1219740195  1028528876  191211319   1241506805  902996210   347493404   953929749   439997074   810035      -           -           1269.733870758670921     -                           -           
D4           1125361093  151487508   973873585   1163072614  1075746224  333087348   953929749   279545957   31726984    -           -           4.774721353911232154     -                           -           
D11          235241152   271249208   1205622687  261721043   1059559965  809388957   53043225    267591032   23402024    -           -           11.59084393725944388     -                           -           
D1           934577413   233532383   701045030   1198784319  871619504   1188079866  278210587   7611270     141956695   -           -           1.645095942815518493     -                           -           
D6           958026359   1151531490  1048125612  1215277991  764740959   71473827    278210587   523430593   186271463   -           -           6.182007009844551443     -                           -           
D67          816101832   892762077   1164970498  834348038   688009751   119059928   278210587   1016156948  13268768    -           -           67.28296681349768117     -                           -           
D38          457111153   1216591323  482150573   882544992   553098395   110783184   497983521   736514877   31677314    -           -           38.40576012852604864     -                           -           
D0           648094147   125008773   523085374   1141754689  1128444068  474497517   497983521   1037967656  154433605   -           -           0.809466132711206217     -                           -           
D23          1030978027  927906222   103071805   1121128246  360659300   228388338   497983521   187329919   39325618    -           -           23.59546446288523679     -                           -           
D43          291691978   552305157   981017564   331532537   847184620   846972040   497983521   1054993666  12808065    -           -           43.12167036941177297     -                           -           
D8           214220212   642595346   813255609   355259729   938603292   573001013   429291554   170879929   73180695    -           -           8.780940738537670351     -                           -           
D71          1152268194  454974701   697293493   1162780976  170180658   1046127224  429291554   571112952   6374956     -           -           71.36907313556360232     -                           -           
D25          1176793466  406056196   770737270   1203183795  513930252   874148357   429291554   85817413    15618990    -           -           25.99759625942522531     -                           -           
D0           681550278   98371831    583178447   1025265321  993785763   903906884   820523043   606043283   337835235   -           -           0.291182863149250847     -                           -           
D5           719435768   401592567   317843201   1041780921  224527837   637059890   810176548   987200774   74745462    -           -           5.372801990306782771     -                           -           
D10          642245760   622746648   19499112    714768866   125021604   70968313    810176548   712755275   62060912    -           -           10.03444242005338239     -                           -           
D13          474926717   985099046   731458414   677035664   852843288   618135863   810176548   126103283   70708823    -           -           13.93176981605251723     -                           -           
D62          590866234   962065182   870431795   878606615   174161043   1144081746  810176548   166138251   15385472    -           -           62.53075511755505453     -                           -           
D6           306654867   707524588   840761022   504050378   370528847   879589780   810176548   48234901    109259356   -           -           6.475643037837418701     -                           -           
D2           530754607   690650769   1081734581  805725250   365430484   1042288595  810176548   607145388   255783964   -           -           2.700133183486045278     -                           -           
D2           916979717   339380483   577599234   1031765314  216849913   378205324   147769378   448172687   113480538   -           -           2.990649224803639898     -                           -           
D67          695074160   1046051758  890653145   1034913524  1066112880  342860981   147769378   801165357   15395432    -           -           67.94559308241561522     -                           -           
D5           594015421   872856684   962789480   813449883   942476721   206656178   147769378   88616700    155146497   -           -           5.626016061451906323     -                           -           
D11          691368787   1027987762  905011768   993525253   386811410   1047336189  147769378   250543058   87055855    -           -           11.80837017797366989     -                           -           
D15          122522356   788853853   575299246   195031527   53201462    1136761085  929658917   126172954   50013185    -           -           15.77291774159154231     -                           -           
D21          755522527   821804183   1175349087  1113848846  547784072   71133101    929658917   32645039    38869889    -           -           21.14243709314425878     -                           -           
D9           662209099   1215189264  688650578   930367387   1093011126  478102213   929658917   476757116   125892523   -           -           9.652592823165518733     -                           -           
D2           522394000   527883012   1236141731  859876392   871112173   917682373   965296165   38638797    184911608   -           -           2.854785687656774906     -                           -           
D29          706584502   494209104   212375398   741067209   744316419   1003773937  965296165   568541086   16930362    -           -           29.19069917111045824     -                           -           
D0           231808576   78529488    153279088   378053663   1124626310  953193188   965296165   505524174   85563489    -           -           0.917792026924007271     -                           -           
D3           367042152   459372835   1149300060  492105125   828296090   502097719   240832547   95425245    116916206   -           -           3.929077505303242563     -                           -           
D5           424096928   220981052   203115876   616500451   489803666   281029926   240832547   923238632   39289882    -           -           5.624375558063523835     -                           -           
D46          616407963   305517658   310890305   659963094   959069044   338230280   240832547   929951459   6636129     -           -           46.03853511587854907     -                           -           
D13          242272667   237660873   4611794     354859002   793057374   689099529   240832547   627464589   17099997    -           -           13.89829910496475525     -                           -           
D8           672923705   1073001092  841553356   1213411726  535389389   1217448306  318441513   1097728894  132435684   -           -           8.102054216747202362     -                           -           
D4           808346115   560990679   247355436   1039826095  521864708   326678690   318441513   343505596   113906175   -           -           4.925024293020110630     -                           -           
D187         179469133   1213122844  207977032   352471159   78853886    1126554035  318441513   64365217    6467107     -           -           187.5835429968918095     -                           -           
D31          556509346   370400465   186108881   1101171648  67061928    307200921   332544044   340460716   11847044    -           -           31.26522236264168513     -                           -           
D22          148590209   1032045771  358175181   250372466   14902050    731298074   332544044   46692544    46807952    -           -           22.04851370126170014     -                           -           
D3           689969118   655351995   34617123    1205281901  269820533   203065739   332544044   827634204   174656335   -           -           3.752237186243487818     -                           -           
D27          482572907   819552057   904651593   633502814   1180169424  82179777    100163636   264002189   29783186    -           -           27.51727290021960713     -                           -           
D16          248598400   125828598   122769802   369095236   838901890   348142557   304627765   460210862   7604728     -           -           16.54610105713182641     -                           -           
D1           937352429   118028301   819324128   1225593106  756079205   213539863   304627765   758500868   72630398    -           -           1.625053755040692466     -                           -           
D8           440642558   912119225   770154076   778082417   492885238   693291971   304627765   891605364   103202699   -           -           8.838133438738845386     -                           -           
D5           780418907   1102421343  919628307   1069797516  68992843    482993584   794136630   619661082   201661689   -           -           5.466687046343244700     -                           -           
D7           745284564   114684714   630599850   767377838   61641817    1075782743  794136630   529037828   16206522    -           -           7.076454405207977381     -                           -           
D16          641942166   928233649   955339260   1227338201  1163898498  355979070   794136630   187374482   56546131    -           -           16.41551123984061792     -                           -           
D9           991028870   1186010913  1046648700  1135672435  544641485   718875615   794136630   818544511   123167480   -           -           9.629253703980953414     -                           -           
D30          1050332885  992599347   57733538    1177604641  647490475   164315446   924000313   1059595596  32158837    -           -           30.86552374390902258     -                           -           
D58          122688017   159516491   1204802269  125764029   483950965   1172290075  924000313   943019807   2723549     -           -           58.56934866969531299     -                           -           
D1           917912931   261087093   656825838   1154682990  171995681   404511609   150833210   94443897    207602754   -           -           1.257628273081579640     -                           -           
D4           976700033   628374631   348325402   1144277055  509583803   1226786344  150833210   672491115   138814923   -           -           4.526708061495664987     -                           -           
D17          449186037   616037823   1074778957  862402557   287571607   1227500802  150833210   830087003   35969517    -           -           17.12666375253245685     -                           -           
D45          392521553   1181326679  452825617   758829816   207306284   1113635686  150833210   466264892   26213290    -           -           45.06594475550379216     -                           -           
D3           391841420   456217175   1177254988  635604656   1222115625  856608785   150833210   937979812   148078184   -           -           3.080920920802216213     -                           -           
D46          253274859   1092116330  402789272   483041276   1012536289  72703308    836751419   1109683255  23508442    -           -           46.45634661795111730     -                           -           
D24          1169829861  83454217    1086375644  1204137961  936669638   1206732972  836751419   1146625872  3354461     -           -           24.87857721404422349     -                           -           
D14          768368988   1096900773  913098958   906424196   309265544   579137734   836751419   172143311   78092948    -           -           14.04609252297659450     -                           -           
D129         265201422   309749378   1197082787  283974170   701344028   657421185   836751419   685067558   2382950     -           -           129.9856807738307560     -                           -           
D1           432037856   57628027    374409829   822963922   915262419   302381850   836751419   175169546   41111790    -           -           1.401739671271914942     -                           -           
D6           304907439   456452415   1090085767  382475946   313554065   90949167    360091708   505997113   72201918    -           -           6.321887667859460464     -                           -           
D30          289730412   913110462   618250693   549319507   1053470923  431702202   360091708   404600132   30141317    -           -           30.29431202359206799     -                           -           
D13          669971620   947363631   964238732   789699677   648784257   1094654633  360091708   1240476729  71331335    -           -           13.28117062438267838     -                           -           
D6           853184370   527522943   325661427   939518713   261720035   887405427   360091708   373628921   76175283    -           -           6.925119569296513148     -                           -           
D2           566531798   729735378   1078427163  850124490   820119786   1235694887  466901051   1120928571  282939106   -           -           2.579125198762733066     -                           -           
D0           626508115   60354519    566153596   1135880423  870428790   634688303   466901051   624993686   117135807   -           -           0.515252513691223384     -                           -           
D2           891492232   552173915   339318317   1217877868  332806422   820992679   101953598   955226312   238720960   -           -           2.313051669195700285     -                           -           
D1           599567409   164411200   435156209   722792983   71022605    471574052   101953598   606828441   106665113   -           -           1.541377451125936556     -                           -           
D29          908677291   589050335   319626956   1204872892  811245868   227723681   101953598   1136585623  20090488    -           -           29.31986196651868287     -                           -           
D2           796190500   84252142    711938358   841004136   1195699690  574127742   1101688897  496198874   34358688    -           -           2.452135017495429394     -                           HYP-005     
D368         654563777   1143849572  752344948   685585707   335838757   68391250    1101688897  780165168   3103247     -           -           368.5976565835719812     -                           -           
D4           952406755   454453292   497953463   1233431682  1152128956  886209400   406343748   44918496    109331974   -           -           4.156636666964414271     -                           -           
D7           988432706   382431580   606001126   1105843083  877198530   365204313   406343748   526382536   49149690    -           -           7.780956095552179474     -                           -           
D17          743153334   1177177641  807606436   968022976   340045094   1143964616  406343748   1033673569  68544408    -           -           17.17394132282826047     -                           -           
D4           456689845   669106092   1029214496  612270371   550247970   441363242   546492487   636100972   145528793   -           -           4.597757448589572236     -                           -           
D0           1033966551  71424879    962541672   1121249702  773112137   188205452   546492487   1149704920  73851890    -           -           0.967136778760841462     -                           -           
D21          778230061   637652499   140577562   846221490   333345910   755553741   546492487   230376181   30324342    -           -           21.02774394906903503     -                           -           
D1           561350741   99670656    461680085   726638771   826145158   794296237   1051617352  859725979   65486651    -           -           1.521999590420343834     -                           -           
D1           937353240   305829770   631523470   1174047358  40167051    91540961    991074377   578985286   227270886   -           -           1.345661890014368140     -                           -           
D63          226041644   780268898   687403489   332960489   256001550   854007017   991074377   145814411   12203954    -           -           63.93574557885091995     -                           -           
D17          496096523   563253611   1174473655  960524718   860414398   224809463   991074377   984087186   31668328    -           -           17.78602302590777763     -                           -           
D107         611289101   1004191546  848728298   731679841   55725621    160524981   378626120   1179167950  9335401     -           -           107.5681211765836304     -                           -           
D16          528308903   567914006   1202025640  651756392   846791175   51881302    378626120   907435386   34518947    -           -           16.45224015668844127     -                           -           
D5           991317446   480632946   510684500   1170578729  1140372749  1054314001  378626120   148903875   95011031    -           -           5.058706772690425809     -                           -           
D13          1109165228  210495500   898669728   1126253637  67177601    356320621   378626120   224400448   15507052    -           -           13.57417902512998602     -                           -           
D0           544410649   19875260    524535389   688733277   1153203176  1105524983  1074765896  1081474027  111442765   -           -           0.178345000682637405     -                           -           
D39          174836583   657443474   759023852   214353706   410703453   1140474456  1074765896  417829507   16768091    -           -           39.20800966550098040     -                           -           
D21          224184132   348874968   1116939907  328234670   1205527420  916372508   989272142   125224912   16083056    -           -           21.69208190284234538     -                           -           
D19          488609463   483844393   4765070     952165150   273927113   943166041   989272142   607260766   25053776    -           -           19.31223433146364843     -                           -           
D2           482584803   363187811   119396992   803352632   732322835   1059306000  730650702   420082529   161816974   -           -           2.244435809311327253     -                           -           
D34          198888427   961167820   479351350   227446222   72882710    1080039161  939843664   446396006   27541657    -           -           34.89869255143218144     -                           -           
D4           562644656   1077072717  727202682   871879743   21800147    989731006   939843664   291734945   253409569   -           -           4.250323779209774039     -                           -           
D12          585722111   782572649   1044780205  716515928   582719901   514742962   939843664   75612663    62546843    -           -           12.51178495132040477     -                           -           
