Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D32          117426254   1023809449  335247548   160229015   1104950524  883746615   641302725   660481283   31820732    -           -           32.17428967378877393     
D2           405449763   38069709    367380054   601575162   468063699   27144157    641302725   405279285   13198965    -           -           2.884295018586684637     
D3           430941689   529750826   1142821606  696459498   1195837212  243045144   641302725   204276936   165423880   -           -           3.202384238599650788     
D11          1014391790  768096722   246295068   1149486612  212503820   239202009   641302725   964338078   68728036    -           -           11.17588638790725810     
D1           852854729   333346981   519507748   1066258092  92153015    898632369   641302725   809499152   212644640   -           -           1.567624657738845427     
D61          815655225   319285960   496369265   883196927   919121725   499141507   641302725   483419827   5154801     -           -           61.93953171034148553     
D9           551672893   714831466   1078472170  1025991097  917556920   266395617   641302725   1165687735  77354689    -           -           9.240958437568018662     
D35          140995802   1184898761  197727784   176880123   88932517    650278264   641302725   255748519   33342839    -           -           35.53682879253323329     
D2           597448315   727610082   1111468976  935980955   245799388   320698864   641302725   1077733231  258915675   -           -           2.810220285040679750     
D0           695540231   169934564   525605667   1183270268  38510501    598421508   641302725   747895403   207810194   -           -           0.817739306859989746     
D6           555745667   371669826   184075841   721596590   826670155   736921707   641302725   721348468   58192898    -           -           6.386858856900372963     
D1           734135555   342411485   391724070   1141948363  581285100   1217744940  641302725   478955808   326322747   -           -           1.049303145882134903     
D5           357176581   635461846   963345478   606751178   142896933   947893031   641302725   1114886827  107601984   -           -           5.905670345260548355     
D11          493616469   513097674   1222149538  643019180   861056412   1062341136  641302725   190267913   45408336    -           -           11.29963612848530719     
D3           660901090   365832304   295068786   933078649   185410127   578843488   641302725   200287855   116545972   -           -           3.138952790234569410     
D75          399093799   1077260906  563463636   591518956   1190748128  240393066   641302725   1144867978  14243485    -           -           75.63183490557261793     
D1           702711601   125712090   576999511   805694767   1186284838  970765688   641302725   745631206   84812605    -           -           1.482233566578930101     
D15          587934629   1075431294  754134078   761504078   807802584   1210056003  641302725   630753739   67226282    -           -           15.99718535676270182     
D8           1057593781  1030738372  26855409    1213884501  120060625   858708882   641302725   110297539   119849461   -           -           8.600275407162657160     
D0           677873758   65430903    612442855   963250662   1068816801  1171284092  641302725   610333117   107119950   -           -           0.610819021106712615     
D8           638763966   370893439   267870527   836755266   1209630462  887753775   641302725   813860104   44790066    -           -           8.280707579220803112     
D16          1043334004  519065784   524268220   1135366922  643852746   161558122   641302725   943590362   30971906    -           -           16.75924575000324487     
D4           494462506   1099476609  636616640   761811074   259941461   989111565   641302725   996524128   227113938   -           -           4.841079410106481443     
D7           382900639   1186433343  438098039   600929739   590903907   1057739477  641302725   716390928   164871539   -           -           7.196107649604702240     
D2           385646974   320425155   65221819    518545623   622203818   978604960   641302725   756387722   119849676   -           -           2.673558792098862244     
D9           920453262   587396525   333056737   1207008533  381415307   975024055   641302725   1075830140  60787449    -           -           9.663121823059230532     
D19          384404330   1087443536  538591537   713927498   1176311515  1145453281  641302725   34019319    54881162    -           -           19.81451369415246710     
D5           139385899   182185178   1198831464  243098668   83402126    595475781   641302725   951673648   35673130    -           -           5.107070167378079804     
D2           316414697   324234043   1233811397  512792747   1221333799  949571653   641302725   627999852   120036647   -           -           2.701125457128105219     
D11          326230570   662098961   905762352   460463495   430695350   691145447   641302725   950577401   57764720    -           -           11.46199550521494780     
